"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Adam Andrzej KOŚMIDER";"Mariusz Kazimierz TRAWKA";"Wojciech Stanisław ZIEMNIAK"
"aa25-5b17-29f2-0550-6803-9bc1-2980-6f3d";"300404";"94";"4";"wieś";"stały";"Świetlica wiejska w Babkowicach, Babkowice 42, 63-830 Pępowo";"gm. Pępowo";"gostyński";"wielkopolskie";"980";"1065";"347";"633";"0";"0";"0";"0";"0";"0";"0";"0";"0";"633";"0";"0";"633";"17";"4";"13";"0";"616";"379";"57";"180"
"4d2f-1cd2-a3c9-ff11-d5d0-d684-960c-90fe";"300405";"94";"1";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Strzelecka 4, 63-820 Piaski";"gm. Piaski";"gostyński";"wielkopolskie";"1418";"1543";"452";"966";"0";"0";"0";"0";"0";"0";"0";"0";"0";"966";"0";"0";"966";"21";"7";"14";"0";"945";"356";"84";"505"
"c2dc-182c-987f-2244-dec9-303c-89f3-6bde";"300405";"94";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Drzęczewska 9, 63-820 Piaski";"gm. Piaski";"gostyński";"wielkopolskie";"900";"968";"308";"592";"0";"1";"0";"0";"0";"0";"0";"0";"0";"591";"0";"0";"591";"17";"5";"12";"0";"574";"201";"46";"327"
"ce29-58ca-d69a-0ee4-abe8-14e3-794c-e7c7";"300405";"94";"3";"wieś";"stały";"Szkoła Podstawowa, ul. Drzęczewska 9, 63-820 Piaski";"gm. Piaski";"gostyński";"wielkopolskie";"1220";"1336";"520";"700";"0";"0";"0";"0";"0";"0";"0";"0";"0";"700";"0";"0";"700";"12";"1";"11";"0";"688";"396";"68";"224"
"ee65-da42-115b-3566-5021-c27c-474c-dc75";"300405";"94";"4";"wieś";"stały";"Świetlica wiejska w Grabonogu, Grabonóg 4, 63-820 Piaski";"gm. Piaski";"gostyński";"wielkopolskie";"780";"843";"317";"463";"0";"3";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"15";"6";"9";"0";"448";"235";"45";"168"
"fe5e-9dba-2586-11cb-75e9-f87e-e97d-35ef";"300405";"94";"5";"wieś";"stały";"Szkoła Podstawowa, Bodzewo 35, 63-820 Piaski";"gm. Piaski";"gostyński";"wielkopolskie";"780";"848";"330";"450";"0";"0";"0";"0";"0";"0";"0";"0";"0";"450";"0";"0";"450";"11";"5";"6";"0";"439";"253";"48";"138"
"dd04-81b2-131f-efc7-b091-c50f-f43c-b9c0";"300405";"94";"6";"wieś";"stały";"Szkoła Podstawowa, Szelejewo Pierwsze 87a, 63-820 Piaski";"gm. Piaski";"gostyński";"wielkopolskie";"1030";"1125";"432";"598";"1";"3";"0";"0";"0";"0";"0";"0";"0";"598";"0";"0";"598";"24";"8";"16";"0";"574";"279";"69";"226"
"d1df-6990-b251-5e1b-2fa1-9c83-d1d4-3291";"300405";"94";"7";"wieś";"zakład leczniczy";"Bonifraterskie Centrum Zdrowia Sp. z o. o., Osiedle Marysin 1, 63-820 Piaski";"gm. Piaski";"gostyński";"wielkopolskie";"110";"97";"71";"39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"0";"39";"3";"0";"3";"0";"36";"20";"4";"12"
"a482-63d5-977e-0170-2297-fc0a-e5e7-e5f2";"300405";"94";"8";"wieś";"zakład leczniczy";"Dom Zdrowia i Spokoju Sp. z o. o., Szelejewo Drugie 10 a, 63-820 Piaski";"gm. Piaski";"gostyński";"wielkopolskie";"80";"53";"70";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"10";"0";"0";"0";"0";"10";"6";"0";"4"
"b161-bb6f-c398-48eb-f81e-23f8-4f81-dbcb";"300406";"94";"1";"miasto";"stały";"Przedszkole Samorządowe, ul. Rynek 19, 63-860 Pogorzela";"gm. Pogorzela";"gostyński";"wielkopolskie";"1520";"1658";"626";"894";"0";"3";"1";"1";"0";"0";"0";"0";"1";"895";"1";"0";"895";"40";"10";"30";"0";"855";"310";"74";"471"
"e881-add3-2b08-da69-a952-eeda-ddb0-1194";"300406";"94";"2";"wieś";"stały";"Świetlica Wiejska, Bułaków 34a, 63-860 Pogorzela";"gm. Pogorzela";"gostyński";"wielkopolskie";"680";"737";"302";"378";"0";"0";"0";"0";"0";"0";"0";"0";"0";"378";"0";"0";"378";"6";"1";"5";"0";"372";"243";"38";"91"
