"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar Jerzy KRASKA";"Janina Ewa ORZEŁOWSKA"
"0e6a-3617-3c91-41e1-f781-a3e9-cbd6-0a9f";"142603";"48";"5";"wieś";"stały";"Świetlica Wiejska Polaki, Polaki 63B, 08-130 Kotuń";"gm. Kotuń";"siedlecki";"mazowieckie";"554";"605";"235";"319";"0";"0";"0";"0";"0";"0";"0";"0";"0";"319";"0";"0";"319";"9";"2";"7";"0";"310";"209";"101"
"adec-701b-4ced-22a9-62c5-cd7f-82a2-3ee4";"142603";"48";"6";"wieś";"stały";"Świetlica Wiejska w Gręzowie, Gręzów Warszawska 112, 08-130 Kotuń";"gm. Kotuń";"siedlecki";"mazowieckie";"771";"838";"291";"480";"0";"1";"0";"0";"0";"0";"0";"0";"0";"480";"0";"0";"480";"13";"1";"12";"0";"467";"272";"195"
"1076-fa35-3c1b-4b63-e9c6-3504-b57d-12c2";"142603";"48";"7";"wieś";"stały";"Niepubliczne Przedszkole „Leśna Kraina” Cisie-Zagrudzie, Cisie-Zagrudzie 42, 08-130 Kotuń";"gm. Kotuń";"siedlecki";"mazowieckie";"372";"415";"134";"238";"0";"0";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"7";"2";"5";"0";"231";"140";"91"
"cd5d-ca96-0a66-8510-edc3-b6a1-e072-b38a";"142604";"48";"1";"wieś";"stały";"Urząd Gminy, Plac Chreptowicza 25, 08-124 Mokobody";"gm. Mokobody";"siedlecki";"mazowieckie";"1202";"1298";"433";"769";"3";"5";"0";"0";"0";"0";"0";"0";"0";"768";"0";"3";"765";"8";"2";"6";"0";"757";"451";"306"
"328f-e87b-b2db-2fa0-db1c-9fbf-fe1e-2804";"142604";"48";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny Publiczna Szkoła Podstawowa, Niwiski ul. Rynek 21, 08-124 Mokobody";"gm. Mokobody";"siedlecki";"mazowieckie";"1220";"1340";"398";"822";"0";"5";"0";"0";"0";"0";"0";"0";"0";"822";"0";"0";"822";"24";"4";"20";"0";"798";"537";"261"
"a11d-2644-e890-51fb-7a3a-1621-d4f3-d644";"142604";"48";"3";"wieś";"stały";"Zespół Oświatowy w Mokobodach, ul. Wiatraczna 14, 08-124 Mokobody";"gm. Mokobody";"siedlecki";"mazowieckie";"1260";"1387";"420";"840";"0";"1";"0";"0";"0";"0";"0";"0";"0";"840";"0";"0";"840";"17";"3";"14";"0";"823";"614";"209"
"af15-b887-a7da-bd02-e86b-64ae-3f13-1df1";"142605";"48";"1";"miasto";"stały";"Szkoła Podstawowa w Mordach, Kilińskiego 13, 08-140 Mordy";"gm. Mordy";"siedlecki";"mazowieckie";"1328";"1431";"488";"840";"0";"3";"0";"0";"0";"0";"0";"0";"0";"840";"0";"0";"840";"24";"5";"19";"0";"816";"435";"381"
"b1ed-acc4-9300-ac8e-4352-c292-d23f-06de";"142605";"48";"2";"wieś";"stały";"Świetlica Wiejska w Czepielinie, Czepielin 10A, 08-140 Mordy";"gm. Mordy";"siedlecki";"mazowieckie";"574";"629";"178";"396";"0";"2";"0";"0";"0";"0";"0";"0";"0";"396";"0";"0";"396";"11";"3";"8";"0";"385";"278";"107"
"d2cf-e098-c271-668d-67fb-fa42-51ec-7cff";"142605";"48";"3";"wieś";"stały";"Miejsko-Gminny Ośrodek Kultury w Mordach, Parkowa 9, 08-140 Mordy";"gm. Mordy";"siedlecki";"mazowieckie";"606";"661";"243";"363";"0";"0";"0";"0";"0";"0";"0";"0";"0";"363";"0";"0";"363";"5";"1";"4";"0";"358";"222";"136"
"aa7b-8836-d2e8-3fb2-a667-5493-0333-58ca";"142605";"48";"4";"wieś";"stały";"Świetlica Wiejska w Krzymoszach, Krzymosze 40E, 08-140 Mordy";"gm. Mordy";"siedlecki";"mazowieckie";"670";"737";"256";"414";"0";"2";"0";"0";"0";"0";"0";"0";"0";"414";"0";"0";"414";"12";"1";"11";"0";"402";"286";"116"
