"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRASKA Waldemar Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIĘCKOWSKI Paweł Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BORKOWSKI Krzysztof Wawrzyniec - KWW KW BORKOWSKIEGO PAKT SENACKI";"WYRZYKOWSKI Paweł Stanisław - KW ZJEDNOCZENI"
8;"Budynek Ochotniczej Straży Pożarnej w Oleśnicy, Oleśnica 42, 08-117 Wodynie";142612;"gm. Wodynie";"siedlecki";"mazowieckie";1;1;140;20;60;10
1;"Szkoła Podstawowa w Zbuczynie, ul. Jana Pawła II 3, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;702;217;409;97
2;"Szkoła Podstawowa w Zbuczynie, ul. Jana Pawła II 3, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;298;63;113;26
3;"Szkoła Podstawowa w Czuryłach, Cielemęc 44, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;376;79;154;35
4;"Szkoła Podstawowa w Dziewulach, Dziewule ul. Kościelna 10, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;294;63;58;16
5;"Szkoła Podstawowa w Izdebkach-Kosnach, Izdebki-Kosny 38, 08-111 Krzesk-Królowa Niwa";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;148;17;62;10
6;"Szkoła Podstawowa w Krzesku-Królowa Niwa, Krzesk-Królowa Niwa 23, 08-111 Krzesk-Królowa Niwa";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;274;77;106;19
7;"Szkoła Podstawowa w Krzesku-Królowa Niwa, Krzesk-Królowa Niwa 23, 08-111 Krzesk-Królowa Niwa";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;242;68;79;27
8;"Szkoła Podstawowa w Ługach Wielkich, Ługi Wielkie 39, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;152;28;66;7
9;"Szkoła Podstawowa w Borkach-Kosach, Borki-Kosy 24, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;148;23;75;9
10;"Niepubliczna Szkoła Podstawowa w Borkach-Wyrkach, Borki-Wyrki 17, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;99;21;62;9
11;"Świetlica wiejska w Grochówce, Grochówka ul. Wspólna 1, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;122;21;29;1
12;"Świetlica wiejska w Januszówce, Januszówka 8A, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;68;11;30;4
13;"Świetlica wiejska w Jasionce, Jasionka 23, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;104;15;44;12
14;"Świetlica wiejska w Łęcznowoli, Łęcznowola 17A, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;86;15;27;4
15;"Świetlica wiejska w Modrzewiu, Modrzew 16, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;75;15;31;13
16;"Świetlica wiejska w Smolance, Smolanka 50, 08-106 Zbuczyn";142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";1;1;90;16;26;13
1;"Publiczna Szkoła Podstawowa Nr 3, ul. Repkowska 3, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;616;129;374;93
2;"Publiczna Szkoła Podstawowa Nr 4, ul. Kupientyńska 15, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;810;204;522;99
3;"Spółdzielnia Inwalidów ""Chegos"", ul. Lipowa 52, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;715;202;486;113
4;"Publiczna Szkoła Podstawowa Nr 6, ul. Skłodowskiej-Curie 16, 08-300 Sokołów Podlaski";142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";1;1;534;129;389;82
