"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"CIUPKA Bogusław Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KWIATKOWSKI Krzysztof - KWW KRZYSZTOF KWIATKOWSKI - PAKT SENACKI"
6;"Szkoła Podstawowa Nr 2 w Brzezinach, ul. Henryka Sienkiewicza 17, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;383;102;450
7;"Miejska Biblioteka Publiczna w Brzezinach, ul. św. Anny 36, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;370;118;408
8;"Dom Pomocy Społecznej w Brzezinach, ul. Stanisława Moniuszki 24, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;13;5;9
9;"Powiatowe Centrum Zdrowia w Brzezinach Sp. z o. o., ul. Marii Skłodowskiej-Curie 6, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;25;6;17
1;"Szkoła Podstawowa w Gałkówku-Kolonii, Gałkówek-Kolonia 38, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;79;24;74
2;"Sala OSP Polik, Polik 45, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;151;47;209
3;"Szkoła Podstawowa w Dąbrówce Dużej, Dąbrówka Duża 60, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;311;103;286
4;"Gminny Ośrodek Kultury w Przecławiu, Przecław 33, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;238;73;203
5;"Szkoła Podstawowa w Bogdance, Bogdanka 5, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;197;46;171
6;"Sala OSP Jordanów, Jordanów 15, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;170;90;297
7;"Świetlica Środowiskowa w Małczewie, Małczew 17A, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;72;30;108
8;"Sala OSP Grzmiąca, Grzmiąca 59, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;89;29;54
9;"Sala OSP Paprotnia, Paprotnia 50, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;89;20;59
10;"Sala OSP Witkowice, Witkowice 44A, 95-060 Brzeziny";102102;"gm. Brzeziny";"brzeziński";"łódzkie";1;1;122;36;108
1;"Szkoła Podstawowa w Dmosinie, Dmosin Pierwszy 1C, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;135;57;186
2;"Strażnica OSP w Kraszewie, Kraszew 18, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;150;56;96
3;"Strażnica OSP w Kołacinie, Kołacin 15D, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;144;43;118
4;"Świetlica w Ząbkach, Ząbki 16A, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;186;52;111
5;"Świetlica w Woli Cyrusowej, Wola Cyrusowa 67, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;147;48;82
6;"Świetlica w Szczecinie, Szczecin 36A, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;99;29;97
7;"Świetlica w Osinach, Osiny 33A, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;82;43;138
8;"Szkoła Podstawowa w Dmosinie, Dmosin Pierwszy 1C, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;169;30;113
9;"Strażnica OSP w Kołacinku, Kołacinek 22A, 95-061 Dmosin";102103;"gm. Dmosin";"brzeziński";"łódzkie";1;1;76;21;32
1;"Zespół Szkolno-Przedszkolny w Jeżowie (mała sala gimnastyczna), ul. Wojska Polskiego 2, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;117;28;81
