"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KALISZ Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"PASOŃ Stanisław Wojciech - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DURLAK Wiktor Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAKUBOWSKI Jarosław Jerzy - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
7;"Szkoła Podstawowa, Wielogłowy 56, 33-311 Wielogłowy";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;28;53;238;34
8;"Szkoła Podstawowa, Librantowa 86, 33-300 Nowy Sącz";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;65;170;429;111
9;"Szkoła Podstawowa, Paszyn 410, 33-326 Mogilno";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;47;172;546;92
10;"Szkoła Podstawowa, Piątkowa 1, 33-300 Nowy Sącz";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;67;181;493;97
11;"Szkoła Podstawowa, Krasne Potockie 118, 33-394 Klęczany";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;32;87;385;51
12;"Szkoła Podstawowa, Biczyce Dolne 30, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;50;169;279;76
13;"Świetlica Wiejska, Wielopole 195, 33-311 Wielogłowy";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;53;111;261;89
14;"Szkoła Podstawowa, Januszowa 5, 33-300 Nowy Sącz";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;25;75;231;39
15;"Szkoła Podstawowa, Niskowa 62, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;23;103;294;43
16;"Świetlica Wiejska, Kunów 120, 33-300 Nowy Sącz";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;32;72;185;41
17;"Świetlica Wiejska, Mała Wieś ul. Henryka Jordana 2, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;56;207;248;63
18;"Szkoła Podstawowa, Wielogłowy 56, 33-311 Wielogłowy";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;65;191;444;100
19;"Budynek po Szkole Podstawowej, Boguszowa 40, 33-300 Nowy Sącz";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;5;15;61;16
20;"Szkoła Podstawowa, Rdziostów 55, 33-393 Marcinkowice";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;15;105;148;27
21;"Szkoła Podstawowa, ul. Marcinkowicka 9, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;103;432;529;172
