"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CICHOŃ Zbigniew Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FEDOROWICZ Jerzy Feliks - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
101;"Szkoła Podstawowa Nr 119, ul. Bolesława Czerwieńskiego 1, 31-319 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;337;682
102;"XIV Liceum Ogólnokształcące, ul. Józefa Chełmońskiego 24, 31-322 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;333;873
103;"XIV Liceum Ogólnokształcące, ul. Józefa Chełmońskiego 24, 31-322 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;493;988
104;"Szkoła Podstawowa Nr 113, ul. Piotra Stachiewicza 33, 31-328 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;381;688
105;"Szkoła Podstawowa Nr 113, ul. Piotra Stachiewicza 33, 31-328 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;436;1055
293;"Szkoła Podstawowa Nr 156, ul. Centralna 39, 31-586 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;229;356
294;"Szkoła Podstawowa Nr 156, ul. Centralna 39, 31-586 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;352;1687
295;"Szkoła Podstawowa Nr 156, ul. Centralna 39, 31-586 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;538;1273
296;"Szkoła Podstawowa Nr 156, ul. Centralna 39, 31-586 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;471;1257
297;"Szkoła Podstawowa Nr 103, os. Osiedle Kolorowe 29, 31-941 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;434;1209
298;"Szkoła Podstawowa Nr 103, os. Osiedle Kolorowe 29, 31-941 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;273;739
299;"Zespół Szkół Nr 1, ul. Ułanów 3, 31-450 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;189;834
300;"Szkoła Podstawowa Nr 155, os. Osiedle 2 Pułku Lotniczego 21, 31-869 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;441;804
301;"Szkoła Podstawowa Nr 155, os. Osiedle 2 Pułku Lotniczego 21, 31-869 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;531;1061
302;"Szkoła Podstawowa Nr 155, os. Osiedle 2 Pułku Lotniczego 21, 31-869 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;484;924
303;"Szkoła Podstawowa Nr 155, os. Osiedle 2 Pułku Lotniczego 21, 31-869 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;272;1012
304;"XXX Liceum Ogólnokształcące, os. Osiedle Dywizjonu 303 66, 31-875 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;421;691
305;"XXX Liceum Ogólnokształcące, os. Osiedle Dywizjonu 303 66, 31-875 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;409;798
306;"XXX Liceum Ogólnokształcące, os. Osiedle Dywizjonu 303 66, 31-875 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;272;551
307;"XXX Liceum Ogólnokształcące, os. Osiedle Dywizjonu 303 66, 31-875 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;383;676
308;"XXX Liceum Ogólnokształcące, os. Osiedle Dywizjonu 303 66, 31-875 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;316;797
309;"Międzynarodowe Centrum Kształcenia, ul. Stanisława Skarżyńskiego 1, 31-866 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;246;725
310;"Zespół Szkolno-Przedszkolny Nr 5, os. Osiedle Oświecenia 30, 31-636 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;507;989
311;"Zespół Szkolno-Przedszkolny Nr 5, os. Osiedle Oświecenia 30, 31-636 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;552;726
312;"Zespół Szkolno-Przedszkolny Nr 5, os. Osiedle Oświecenia 30, 31-636 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;572;858
313;"Zespół Szkolno-Przedszkolny Nr 5, os. Osiedle Oświecenia 30, 31-636 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;299;1109
314;"Szkoła Podstawowa Nr 126, os. Osiedle Tysiąclecia 57, 31-610 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;474;744
315;"Szkoła Podstawowa Nr 126, os. Osiedle Tysiąclecia 57, 31-610 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;501;725
316;"Młodzieżowy Dom Kultury im. A. Bursy, os. Osiedle Tysiąclecia 15, 31-606 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;484;660
317;"Młodzieżowy Dom Kultury im. A. Bursy, os. Osiedle Tysiąclecia 15, 31-606 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;524;710
