"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAŁODZIŃSKI Mateusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KLICH Bogdan Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
225;"Zarząd Infrastruktury Sportowej w Krakowie, ul. Walerego Sławka 10, 30-633 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;345;692
226;"Szkoła Podstawowa im. Bł. Celiny Borzęckiej, ul. Malborska 98, 30-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;232;673
227;"Szkoła Podstawowa im. Bł. Celiny Borzęckiej, ul. Malborska 98, 30-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;423;756
228;"Szkoła Podstawowa im. Bł. Celiny Borzęckiej, ul. Malborska 98, 30-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;406;1175
229;"Zespół Szkół Elektrycznych Nr 1 Internat, ul. Henryka Kamieńskiego 49A, 30-644 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;248;549
230;"Zespół Szkolno-Przedszkolny Nr 17, ul. Czarnogórska 14, 30-638 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;470;757
231;"Zespół Szkolno-Przedszkolny Nr 17, ul. Czarnogórska 14, 30-638 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;317;823
232;"Zespół Szkolno-Przedszkolny Nr 17, ul. Czarnogórska 14, 30-638 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;336;787
233;"Zespół Szkolno-Przedszkolny Nr 17, ul. Czarnogórska 14, 30-638 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;467;869
234;"Szkoła Podstawowa Nr 27, ul. Podedworze 16, 30-686 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;491;878
235;"Szkoła Podstawowa Nr 27, ul. Podedworze 16, 30-686 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;443;834
236;"Szkoła Podstawowa Nr 27, ul. Podedworze 16, 30-686 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;473;1395
237;"KOSTKA Publiczne Liceum Ogólnokształcące Jezuitów im. św. Stanisława Kostki, ul. Spółdzielców 5, 30-682 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;339;552
238;"KOSTKA Publiczne Liceum Ogólnokształcące Jezuitów im. św. Stanisława Kostki, ul. Spółdzielców 5, 30-682 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;384;709
239;"KOSTKA Publiczne Liceum Ogólnokształcące Jezuitów im. św. Stanisława Kostki, ul. Spółdzielców 5, 30-682 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;308;571
240;"Szkoła Podstawowa Nr 123, ul. Okólna 16, 30-684 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;358;613
241;"Szkoła Podstawowa Nr 123, ul. Okólna 16, 30-684 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;252;493
242;"Szkoła Podstawowa Nr 123, ul. Okólna 16, 30-684 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;409;910
243;"XV Liceum Ogólnokształcące, al. Aleja Adolfa Dygasińskiego 15, 30-820 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;313;632
244;"XV Liceum Ogólnokształcące, al. Aleja Adolfa Dygasińskiego 15, 30-820 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;414;853
245;"Szkoła Podstawowa Nr 61, ul. Wacława Popławskiego 17, 30-818 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;337;707
246;"Szkoła Podstawowa Nr 61, ul. Wacława Popławskiego 17, 30-818 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;359;639
