"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MARANDA Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"KONIECZNY Wojciech Jan - KW NOWA LEWICA";"POHORECKA Monika Sylwia - KW PRAWO I SPRAWIEDLIWOŚĆ";"BIEŃKOWSKA Małgorzata Beata - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
63;"Zespół Szkolno-Przedszkolny nr 4, ul. Połaniecka 50, 42-209 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;81;293;225;94
64;"Wojewódzki Inspektorat Ochrony Środowiska, ul. Rząsawska 24/28, 42-209 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;56;274;141;53
65;"Szkoła Podstawowa nr 25, ul. Rędzińska 23, 42-209 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;81;402;302;99
66;"Dom Pomocy Społecznej, ul. prof. Stanisława Kontkiewicza 2, 42-209 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;97;469;216;104
67;"Szkoła Podstawowa nr 24, ul. Bronisława Hubermana 7, 42-209 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;102;518;192;78
68;"Szkoła Podstawowa nr 24, ul. Bronisława Hubermana 7, 42-209 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;104;502;281;66
69;"Zespół Szkół im. Jana Kochanowskiego, ul. Warszawska 142, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;16;102;65;21
70;"Szkoła Podstawowa nr 22, ul. Żabia 1, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;71;328;213;74
71;"Zespół Szkolno-Przedszkolny nr 2, ul. Olsztyńska 42, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;82;414;263;76
72;"Miejski Zarząd Dróg i Transportu, ul. Legionów 52, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;91;384;246;93
73;"Miejski Zarząd Dróg i Transportu, ul. Legionów 52, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;85;421;282;85
74;"Szkoła Podstawowa nr 19, ul. Orla 4/8, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;140;700;383;103
75;"Szkoła Podstawowa nr 27, ul. Rozdolna 5, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;172;597;537;160
76;"Szkoła Podstawowa nr 8-wejście od ulicy Górskiej, ul. Szczytowa 28/30, 42-216 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;80;333;230;68
77;"Szkoła Podstawowa nr 8 - wejście od ulicy Szczytowej, ul. Szczytowa 28/30, 42-216 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;131;488;287;104
78;"Zespół Szkół Technicznych i Ogólnokształcących, al. Aleja Niepodległości 16/18, 42-216 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;137;557;483;111
79;"Szkoła Podstawowa nr 17, al. Aleja Wojska Polskiego 130, 42-207 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;121;444;273;65
80;"Szkoła Podstawowa nr 17, al. Aleja Wojska Polskiego 130, 42-207 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;68;263;197;40
81;"Szkoła Podstawowa nr 32, ul. Kazimierza Przerwy-Tetmajera 40, 42-207 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;154;484;386;119
82;"Szkoła Podstawowa nr 7, ul. dra Ludwika Zamenhofa 23, 42-207 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;138;444;291;87
83;"Szkoła Podstawowa nr 7, ul. dra Ludwika Zamenhofa 23, 42-207 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;73;280;210;75
84;"Zespół Szkół im. B. Prusa, ul. Bolesława Prusa 20, 42-207 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;111;585;398;89
85;"VI LO im. J. Dąbrowskiego, ul. mjra Waleriana Łukasińskiego 40, 42-207 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;47;202;142;61
