"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CIEŚLUKOWSKI Cezary - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOMOROWSKI Marek Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KIEŁCZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
2;"Świetlica Wiejska w Zambrzycach-Królach, Zambrzyce-Króle 6, 18-312 Rutki-Kossaki";201403;"gm. Rutki";"zambrowski";"podlaskie";1;1;76;460;68
3;"Szkoła Podstawowa w Grądach-Woniecko, Grądy-Woniecko 20, 18-312 Rutki-Kossaki";201403;"gm. Rutki";"zambrowski";"podlaskie";1;1;83;182;45
4;"Szkoła Podstawowa w Kołomyi, Kołomyja 35, 18-312 Rutki-Kossaki";201403;"gm. Rutki";"zambrowski";"podlaskie";1;1;50;254;39
5;"Szkoła Podstawowa w Rutkach-Kossakach, ul. 11 Listopada 7A, 18-312 Rutki-Kossaki";201403;"gm. Rutki";"zambrowski";"podlaskie";1;1;197;408;67
6;"Świetlica Wiejska w Mężeninie, Mężenin 23, 18-312 Rutki-Kossaki";201403;"gm. Rutki";"zambrowski";"podlaskie";1;1;45;94;9
7;"Świetlica Wiejska w Ożarkach-Olszance, Ożarki-Olszanka 3, 18-312 Rutki-Kossaki";201403;"gm. Rutki";"zambrowski";"podlaskie";1;1;37;81;8
8;"Zakład Karny w Czerwonym Borze, Oddział Zewnętrzny w Grądach-Woniecku, Grądy-Woniecko 34, 18-312 Rutki-Kossaki";201403;"gm. Rutki";"zambrowski";"podlaskie";1;1;68;19;61
1;"Gminny Ośrodek Kultury w Szumowie, ul. sierż. pchor. Zygmunta Przeździeckiego 2, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;140;274;71
2;"Zespół Szkół w Szumowie, ul. Szkolna 14, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;88;202;45
3;"Szkoła Podstawowa w Srebrnej, Srebrna 81, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;59;220;42
4;"Remiza Strażacka w Pęchratce Polskiej, Pęchratka Polska 47, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;55;157;29
5;"Remiza Strażacka w Paproci Dużej, Paproć Duża 54, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;52;151;36
6;"Remiza Strażacka w Łętownicy, Łętownica 15, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;39;67;18
7;"Remiza Strażacka w Ostrożnem, Ostrożne 53, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;53;145;26
8;"Remiza Strażacka w Głęboczu Wielkim, Głębocz Wielki 17, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;23;91;9
9;"Remiza Strażacka w Srebrnym Borku, Srebrny Borek 40, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;52;126;15
10;"Remiza Strażacka w Zarębach Jartuzach, Zaręby-Jartuzy 16a, 18-305 Szumowo";201404;"gm. Szumowo";"zambrowski";"podlaskie";1;1;23;84;25
1;"Szkoła Podstawowa w Starym Zakrzewie, Stare Zakrzewo 15, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;80;202;23
2;"Budynek po byłej Szkole Podstawowej w Starym Laskowcu, Stary Laskowiec 14, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;110;332;67
3;"Szkoła Podstawowa w Osowcu, Osowiec 22, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;140;230;43
4;"Świetlica Wiejska w Wądołkach-Bućkach, Wądołki-Bućki 11B, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;119;311;71
5;"Szkoła Podstawowa w Porytem-Jabłoni, Poryte-Jabłoń 103, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;72;111;20
6;"Szkoła Podstawowa w Starym Skarżynie, Stary Skarżyn 44, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;55;231;40
7;"Świetlica Wiejska w Przeździecko-Mroczkach, Przeździecko-Mroczki 5, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;71;158;37
8;"Świetlica Wiejska w Ładach Polnych, Łady Polne 11B, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;60;214;34
9;"Szkoła Podstawowa w Wiśniewie, Wiśniewo 10, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;96;178;56
10;"Świetlica Wiejska w Woli Zambrowskiej, Wola Zambrowska ul. Leśna 2, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;183;192;44
11;"Świetlica Wiejska w Tabędzu, Tabędz 16A, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;65;263;42
12;"Świetlica Wiejska w Nagórkach-Jabłoni, Nagórki-Jabłoń 50A, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;124;159;40
13;"Świetlica Wiejska w Cieciorkach, Cieciorki 45, 18-300 Zambrów";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;86;165;44
14;"Zakład Karny w Czerwonym Borze, Czerwony Bór 2, 18-400 Łomża";201405;"gm. Zambrów";"zambrowski";"podlaskie";1;1;327;92;106
1;"Szkoła Podstawowa Nr 4 w Łomży, ul. Kierzkowa 7, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;526;503;152
2;"Zespół Szkół Ekonomicznych i Ogólnokształcących Nr 6 w Łomży, ul. Mikołaja Kopernika 16, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;361;344;103
3;"Miejski Ośrodek Pomocy Społecznej w Łomży-KLUB SENIORA, ul. Marii Skłodowskiej Curie 2, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;361;419;104
4;"Stowarzyszenie ""EDUKATOR"" w Łomży, Niepubliczne Przedszkole Integracyjne ""Mały Artysta"", ul. Wojska Polskiego 29A, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;161;203;54
5;"I Liceum Ogólnokształcące w Łomży, ul. Feliksa Bernatowicza 4, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;348;371;81
6;"II Liceum Ogólnokształcące w Łomży, pl. Plac Tadeusza Kościuszki 3, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;274;305;78
7;"III Liceum Ogólnokształcące w Łomży, ul. Senatorska 13, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;293;417;70
8;"Zespół Szkół Specjalnych w Łomży (Ośrodek Rewalidacyjno-Wychowawczy), ul. Marii Skłodowskiej Curie 5, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;198;215;53
9;"Przedszkole Publiczne Nr 1 w Łomży, ul. Wyzwolenia 1A, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;461;465;140
10;"Szkoła Podstawowa Nr 5 w Łomży, ul. Polna 40A, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;259;431;101
11;"Przedszkole Publiczne TWP ""Pinokio"" w Łomży, ul. Studencka 11, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;717;663;201
12;"Miejskie Przedsiębiorstwo Komunikacji w Łomży Sp. z o. o., ul. Spokojna 9, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;285;394;113
13;"Akademia Łomżyńska, ul. Akademicka 14, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;282;398;115
14;"Stowarzyszenie ""EDUKATOR"" w Łomży, Niepubliczne Przedszkole ""Wesołe Słoneczko"", ul. Spółdzielcza 74, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;439;423;110
15;"Szkoła Podstawowa Nr 7 w Łomży, ul. Adama Mickiewicza 6, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;403;461;119
16;"Szkoła Podstawowa Nr 1 w Łomży, ul. Władysława Reymonta 9, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;503;474;104
17;"Szkoła Podstawowa Nr 1 w Łomży, ul. Władysława Reymonta 9, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;448;483;117
18;"Przedszkole Publiczne Nr 9, ul. Bolesława Prusa 11A, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;472;519;100
19;"Przedszkole Publiczne Nr 14 w Łomży, ul. Hugona Kołłątaja 8, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;482;502;130
20;"Przedszkole Publiczne Nr 15 w Łomży, ul. Hugona Kołłątaja 10, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;458;475;116
21;"Szkoła Podstawowa Nr 10 w Łomży, ul. Juliana Ursyna Niemcewicza 17, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;428;446;117
22;"Szkoła Podstawowa Nr 10 w Łomży, ul. Juliana Ursyna Niemcewicza 17, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;673;589;221
23;"Świetlica Spółdzielni Mieszkaniowej ""Perspektywa"" w Łomży, ul. Kazańska 1, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;462;502;124
24;"Spółdzielnia Mieszkaniowa ""Perspektywa"" w Łomży, ul. Kazańska 1, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;490;534;139
25;"Przedszkole Publiczne Nr 10 w Łomży, ul. Księżnej Anny 12, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;336;442;104
26;"Przedszkole Publiczne Nr 10 w Łomży, ul. Księżnej Anny 12, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;543;536;138
27;"Szkoła Podstawowa Nr 9 w Łomży, ul. Księżnej Anny 18, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;548;576;179
28;"Szkoła Podstawowa Nr 9 w Łomży, ul. Księżnej Anny 18, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;422;508;124
29;"Zespół Szkół Specjalnych w Łomży, ul. Nowogrodzka 4, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;170;216;63
30;"Szkoła Podstawowa Nr 5 w Łomży, ul. Polna 40A, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;305;392;100
31;"Świetlica Spółdzielni Mieszkaniowej ""Perspektywa"" w Łomży, ul. Kazańska 1, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;759;616;222
32;"Szpital Wojewódzki im. Kardynała Stefana Wyszyńskiego w Łomży, ul. Aleja Józefa Piłsudskiego 11, 18-400 Łomża";206201;"m. Łomża";"Łomża";"podlaskie";1;1;39;77;10
1;"Przedszkole nr 1, ul. Raczkowska 41, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;796;518;157
2;"Szkoła Podstawowa nr 4 im. ks. Kazimierza Aleksandra Hamerszmita wejście A, ul. Wojska Polskiego 13, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;746;407;217
3;"Szkoła Podstawowa nr 4 im. ks. Kazimierza Aleksandra Hamerszmita wejście B od ul. Spokojnej, ul. Wojska Polskiego 13, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;636;380;168
4;"I Liceum Ogólnokształcące im. Marii Konopnickiej, ul. Adama Mickiewicza 3, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;844;534;188
5;"Zespół Szkół Nr 2, Szkoła Podstawowa Nr 9, ul. Księdza Kazimierza Aleksandra Hamerszmita 11, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;395;311;105
6;"Biblioteka Publiczna im. Marii Konopnickiej, ul. Emilii Plater 33A, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;386;288;94
7;"Szkoła Podstawowa nr 2 im. Aleksandry Piłsudskiej, ul. Tadeusza Kościuszki 126, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;725;526;202
8;"Szkoła Podstawowa Nr 6 im. Aleksandry Kujałowicz, ul. Sejneńska 12, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;197;120;55
9;"Zespół Szkół Nr 2, II Liceum Ogółnokształcące, wejście od ul. Wesołej do obiektu sportowego szkoły, ul. Tadeusza Kościuszki 36/38, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;244;232;57
10;"Państwowa Wyższa Szkoła Zawodowa im. prof. Edwarda Franciszka Szczepanika, ul. Teofila Noniewicza 10, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;474;372;147
11;"Urząd Miejski w Suwałkach, ul. Teofila Noniewicza 71A, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;196;178;42
12;"Szkoła Podstawowa Nr 6 im. Aleksandry Kujałowicz, ul. Sejneńska 12, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;459;349;102
13;"Zespół Szkół Technicznych, ul. Sejneńska 33, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;344;281;77
14;"Zespół Szkół nr 1, ul. Teofila Noniewicza 83, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;626;349;91
15;"Urząd Skarbowy w Suwałkach, ul. 1 Maja 2A, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;392;288;62
16;"Przedszkole nr 3 im. Ojca Świętego Jana Pawła II, ul. Janusza Korczaka 4A, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;426;248;72
17;"Filia nr 3 Biblioteki Publicznej, ul. Północna 26, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;454;398;115
18;"Suwalski Ośrodek Kultury, wejście A, ul. Papieża Jana Pawła II 5, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;682;517;135
19;"Poradnia Psychologiczno-Pedagogiczna, ul. Nowomiejska 10, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;726;525;143
20;"Szkoła Podstawowa nr 5 im. Alfreda Wierusz-Kowalskiego wejście A, ul. Klonowa 51, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;824;472;148
21;"Szkoła Podstawowa nr 5 im. Alfreda Wierusz-Kowalskiego wejście B, ul. Klonowa 51, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;396;360;79
22;"Przedszkole nr 10 im. Marii Konopnickiej, ul. Nowomiejska 18, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;860;565;230
23;"Dom Pomocy Społecznej ""Kalina"", ul. Generała Kazimierza Pułaskiego 66, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;36;29;3
24;"Przedszkole nr 8 z Oddziałami Integracyjnymi, ul. Aleksandra Putry 4B, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;529;383;98
25;"Przedszkole nr 7, ul. Generała Władysława Andersa 10, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;439;345;94
26;"Szkoła Podstawowa nr 7 wejście A, ul. Romualda Minkiewicza 50, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;554;485;117
27;"Niepubliczna Terapeutyczna Szkoła Podstawowa „Bajka” w Suwałkach, ul. Ludwika Michała Paca 4, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;466;456;155
28;"Szkoła Podstawowa Nr 7, wejście C, ul. Romualda Minkiewicza 50, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;423;280;94
29;"Szkoła Podstawowa nr 7 wejście B, ul. Romualda Minkiewicza 50, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;534;377;149
30;"Szkoła Podstawowa Nr 10 z Oddziałami Integracyjnymi im. Olimpijczyków Polskich, ul. Jerzego Antoniewicza 5, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;433;333;96
31;"Szkoła Podstawowa nr 10 z Oddziałami Integracyjnymi im. Olimpijczyków Polskich, ul. Jerzego Antoniewicza 5, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;477;341;95
32;"Szkoła Podstawowa nr 11 z Oddziałami Integracyjnymi wejście C, ul. Szpitalna 66, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;468;350;123
33;"Szkoła Podstawowa nr 11 z Oddziałami Integracyjnymi wejście B, ul. Szpitalna 66, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;657;443;149
34;"Szkoła Podstawowa nr 11 z Oddziałami Integracyjnymi wejście A, ul. Szpitalna 66, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;522;277;158
35;"Areszt Śledczy, ul. Wojska Polskiego 29, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;179;60;93
36;"Specjalistyczny Psychiatryczny Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Szpitalna 62, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;18;42;16
37;"Szpital Wojewódzki im. dr Ludwika Rydygiera, ul. Szpitalna 60, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;30;34;3
38;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Ośrodek Rehabilitacji w Suwałkach, ul. Ludwika Waryńskiego 22 A, 16-400 Suwałki";206301;"m. Suwałki";"Suwałki";"podlaskie";1;1;10;25;2
