"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHMIELEWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"FRANKIEWICZ Zygmunt Mieczysław - KWW ZYGMUNT FRANKIEWICZ - PAKT SENACKI"
12;"Świetlica Miejska Nr 1, ul. Wincentego Witosa 61, 42-603 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;494;1266
13;"Zespół Szkolno-Przedszkolny Nr 4, ul. Powstańców Warszawskich 42, 42-680 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;523;1225
14;"Świetlica Miejska Nr 3, ul. Jana Pastuszki 9, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;317;783
15;"Szkoła Podstawowa Nr 8, ul. Wincentego Janasa 11, 42-612 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;535;1374
16;"Szkoła Podstawowa Nr 8, ul. Wincentego Janasa 11, 42-612 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;501;1252
17;"Szkoła Podstawowa Nr 8, ul. Wincentego Janasa 11, 42-612 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;375;761
18;"Szkoła Podstawowa Nr 15, ul. Litewska 6, 42-612 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;391;764
19;"Szkoła Podstawowa Nr 15, ul. Litewska 6, 42-612 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;478;850
20;"I Liceum Ogólnokształcące im. Stefanii Sempołowskiej, ul. Opolska 28, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;428;828
21;"Szkoła Podstawowa Nr 3, ul. Stanisława Wyspiańskiego 1, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;365;1076
22;"Powiatowy Młodzieżowy Dom Kultury im. H. Jordana, ul. Gliwicka 36, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;514;1360
23;"Tarnogórskie Centrum Kultury, ul. Jana III Sobieskiego 7, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;381;787
24;"Tarnogórskie Centrum Kultury, ul. Jana III Sobieskiego 7, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;301;642
25;"Szkoła Podstawowa Nr 9, ul. Janusza Korczaka 2, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;504;963
