"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOPIEC Maciej Kamil - KW NOWA LEWICA";"PIECHOTA Leszek Marian - KW PRAWO I SPRAWIEDLIWOŚĆ";"MARKOWSKI Jerzy - KWW JERZEGO MARKOWSKIEGO"
147;"Miejski Dom Kultury ""Bogucice-Zawodzie"", ul. Karola Marcinkowskiego 13, 40-233 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;378;246;143
148;"Miejski Dom Kultury ""Bogucice-Zawodzie"", ul. Karola Marcinkowskiego 13, 40-233 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;594;248;199
149;"Dom Pomocy Społecznej ""Przystań"", ul. Ks. bpa Stanisława Adamskiego 22, 40-069 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;10;32;14
150;"Dom Pomocy Społecznej ""Zacisze"", ul. Traktorzystów 42, 40-695 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;17;23;10
151;"""Senior Residence"" Dom Pomocy Społecznej, ul. Pijarska 4, 40-750 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;38;24;12
152;"Areszt Śledczy Katowice, ul. Mikołowska 10a, 40-067 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;180;36;77
153;"Zakład Opieki Zdrowotnej, ul. Wita Stwosza 39-41, 40-042 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;11;10;8
154;"Szpital, Katowice ul. Władysława Stanisława Reymonta 8, 40-029 Katowice (wejście od ulicy Dąbrowskiego)";246901;"m. Katowice";"Katowice";"śląskie";1;1;59;44;20
155;"Szpital, ul. Alfreda Sokołowskiego 2, 40-749 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;27;26;10
156;"Szpital, ul. Ziołowa 45, 40-635 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;58;60;23
157;"Szpital, ul. Medyków 14, 40-752 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;71;53;26
158;"Szpital, ul. Leopolda Markiefki 87, 40-211 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;19;19;7
159;"Szpital, ul. dr Janusza Korczaka 27, 40-340 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;57;42;15
160;"Szpital, ul. Raciborska 27, 40-074 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;30;33;10
161;"Szpital, ul. Strzelecka 9, 40-073 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;23;21;6
162;"Szpital, ul. Józefowska 119, 40-145 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;7;6;5
163;"Szpital, ul. Warszawska 52, 40-008 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;9;6;0
164;"Szpital, ul. Panewnicka 65, 40-760 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;7;8;2
165;"Szpital, ul. Ceglana 35, 40-514 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;27;30;7
166;"Szpital, ul. Morawa 31, 40-353 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;9;16;3
167;"Szpital, ul. Ziołowa 47, 40-635 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;36;37;11
168;"Szpital, ul. Wita Stwosza 41, 40-042 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;8;1;2
