"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOWALIK Rafał - KW BEZPARTYJNI SAMORZĄDOWCY";"CHRÓŚCIKOWSKI Jerzy Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAGDAŃSKI Dariusz Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LIPIEC Marek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POZNAŃSKI Marek - KW NOWA DEMOKRACJA - TAK";"BRATKOWSKI Arkadiusz Tomasz - KWW ZAMOJSZCZYZNY"
1;"Świetlica środowiskowa, Luchów Dolny 28, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;11;193;33;18;4;26
2;"Szkoła Podstawowa, Luchów Górny 89A, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;15;172;42;37;3;26
3;"Budynek po byłej Szkole Podstawowej, Różaniec Pierwszy 44, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;39;208;43;65;5;26
4;"Remiza OSP, Różaniec Drugi 166, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;19;222;27;32;4;21
5;"Szkoła Podstawowa, ul. 1 Maja 7, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;42;279;41;124;9;49
6;"Budynek po byłym Publicznym Gimnazjum, ul. Kościelna 12, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;54;315;78;144;9;35
7;"Środowiskowy Dom Samopomocy w Tarnogrodzie, ul. Szkolna 2, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;32;249;49;117;9;54
8;"Szkoła Podstawowa, Wola Różaniecka 158, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;22;260;26;25;4;22
9;"Placówka ARION Szpitale Sp. z o. o. w upadłości, Rynek 85, 23-420 Tarnogród";60212;"gm. Tarnogród";"biłgorajski";"lubelskie";1;1;3;10;0;3;1;1
1;"Szkoła Filialna w Lipowcu, Lipowiec 100, 23-407 Tereszpol-Zaorenda";60213;"gm. Tereszpol";"biłgorajski";"lubelskie";1;1;11;116;23;48;9;33
2;"Zespół Szkół Samorządowych im. Jana Pawła II w Tereszpolu-Zaorendzie, ul. Szkolna 16, 23-407 Tereszpol-Zaorenda";60213;"gm. Tereszpol";"biłgorajski";"lubelskie";1;1;58;364;91;168;13;65
3;"Świetlica wiejska w Tereszpolu-Zygmuntach, Tereszpol-Zygmunty 96, 23-407 Tereszpol-Zaorenda";60213;"gm. Tereszpol";"biłgorajski";"lubelskie";1;1;34;187;56;66;10;42
4;"Szkoła Podstawowa im. Henryka Sienkiewicza w Tereszpolu-Kukiełkach, Tereszpol-Kukiełki 31, 23-407 Tereszpol-Zaorenda";60213;"gm. Tereszpol";"biłgorajski";"lubelskie";1;1;21;260;43;65;14;47
5;"Remiza OSP, Szozdy 39, 23-407 Tereszpol-Zaorenda";60213;"gm. Tereszpol";"biłgorajski";"lubelskie";1;1;4;60;13;15;0;14
