"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAŁODOBRY Grzegorz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OZDOBA Wojciech Piotr - KW NOWA DEMOKRACJA - TAK";"BATOR Wiesław Adam - KW WIS"
7;"Szkoła Podstawowa Nr 1 w Krzeszowicach, ul. Długa 22, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;360;545;41;64
8;"Szkoła Podstawowa Nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;276;353;19;34
9;"Remiza OSP w Czernej, Czerna 325, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;332;259;18;33
10;"Szkoła Podstawowa w Paczółtowicach, Paczółtowice 2, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;254;203;24;27
11;"Budynek Komunalny w Siedlcu, Siedlec 5, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;285;308;20;37
12;"Szkoła Podstawowa w Nawojowej Górze, Nawojowa Góra ul. Szkolna 1, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;364;665;44;54
13;"Szkoła Podstawowa w Filipowicach, Filipowice ul. Jurajska 197, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;614;397;52;114
14;"Zespół Placówek Oświatowych w Woli Filipowskiej, Wola Filipowska ul. Szkolna 2, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;329;389;26;67
15;"Zespół Placówek Oświatowych w Woli Filipowskiej, Wola Filipowska ul. Szkolna 2, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;255;401;27;79
16;"Szkoła Podstawowa w Rudnie, Rudno ul. Galicyjska 20, 32-067 Tenczynek";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;157;183;20;26
17;"Szkoła Podstawowa w Zalasiu, Zalas ul. Ludwika Siudy 6, 32-067 Tenczynek";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;256;279;26;54
18;"Szkoła Podstawowa w Sance, Sanka 266, 32-067 Tenczynek";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;347;306;37;77
19;"Szkoła Podstawowa w Tenczynku, ul. Szkolna 6, 32-067 Tenczynek";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;286;474;29;84
20;"Szkoła Podstawowa w Tenczynku, ul. Szkolna 6, 32-067 Tenczynek";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;426;842;40;75
21;"Dom Gromadzki w Nowej Górze, Nowa Góra ul. Rynek 1, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;309;321;29;53
22;"Szkoła Podstawowa w Ostrężnicy, Ostrężnica ul. Królewska 32, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;331;351;55;64
23;"Szkoła Podstawowa w Miękini, Miękinia 180, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;287;296;39;56
24;"Szkoła Podstawowa w Zalasiu, Zalas ul. Ludwika Siudy 6, 32-067 Tenczynek";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;275;225;25;46
25;"Świetlica Wiejska we Frywałdzie, Frywałd 109, 32-067 Tenczynek";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;63;61;16;10
26;"Dom Pomocy Społecznej w Czernej, Czerna 110, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;21;8;0;2
27;"Ośrodek Rehabilitacji Narządu Ruchu w Krzeszowicach, ul. I. Daszyńskiego 1, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;58;28;4;5
1;"GOPS w Liszkach, ul. Św. Jana Kantego 5, 32-060 Liszki";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;653;367;44;102
2;"Szkoła Podstawowa w Rącznej, Rączna 1, 32-060 Liszki";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;604;451;56;140
3;"Szkoła Podstawowa w Jeziorzanach, Jeziorzany 1, 32-060 Liszki";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;240;216;26;33
4;"Remiza OSP w Ściejowicach, Ściejowice 186, 32-060 Liszki";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;263;224;26;38
5;"Szkoła Podstawowa w Kaszowie, Kaszów 185, 32-060 Liszki";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;671;332;66;101
6;"Szkoła Podstawowa w Czułowie, Czułów 188, 32-060 Liszki";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;362;227;34;51
7;"Szkoła Podstawowa w Mnikowie, Mników 13, 32-084 Morawica";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;432;268;53;88
8;"Dom Ludowy w Chrosnej, Chrosna 150, 32-084 Morawica";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;220;163;17;24
9;"Zespół Szkolno-Przedszkolny w Morawicy, Morawica 388, 32-084 Morawica";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;281;241;41;57
10;"Szkoła Podstawowa w Kryspinowie, ul. Długa 30, 32-060 Kryspinów";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;454;513;32;86
11;"Szkoła Podstawowa w Cholerzynie, Cholerzyn 205, 32-060 Cholerzyn";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;340;328;30;84
12;"Szkoła Podstawowa w Piekarach, Piekary 100, 32-060 Liszki";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;460;457;47;74
13;"Budynek pod adresem Budzyń 148, Budzyń 148, 32-060 Budzyń";120607;"gm. Liszki";"krakowski";"małopolskie";1;1;97;112;12;23
1;"Urząd Gminy Michałowice, pl. Józefa Piłsudskiego 1, 32-091 Michałowice";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;403;896;76;81
2;"Szkoła Podstawowa w Michałowicach, ul. Jana Pawła II 1, 32-091 Michałowice";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;333;553;37;80
3;"Szkoła Podstawowa w Michałowicach, ul. Jana Pawła II 1, 32-091 Michałowice";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;396;414;43;79
4;"Szkoła Podstawowa w Więcławicach Starych, Więcławice Stare ul. św. Jakuba 94, 32-091 Michałowice";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;382;423;33;69
5;"Szkoła Podstawowa w Raciborowicach, Raciborowice ul. Jana Długosza 36, 32-091 Michałowice";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;412;425;54;80
6;"Budynek Sołecki w Masłomiącej, ul. Tadeusza Kościuszki 11, 32-091 Masłomiąca";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;231;374;47;71
7;"Klub Seniora w Młodziejowicach, Młodziejowice ul. Kadrowa 27, 32-091 Michałowice";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;92;167;10;30
8;"Remiza Ochotniczej Straży Pożarnej w Zagórzycach Dworskich, ul. Włodzimierza Szomańskiego 1, 32-091 Zagórzyce Dworskie";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;207;236;29;44
9;"Świetlica Wiejska w Górnej Wsi, ul. Królewska 2, 32-091 Górna Wieś";120608;"gm. Michałowice";"krakowski";"małopolskie";1;1;132;162;12;30
1;"Szkoła Podstawowa im. Oskara Kolberga w Bukowie, Buków 1, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;229;236;26;37
2;"Budynek starej Szkoły Podstawowej w Chorowicach, Chorowice ul. Adama Doboszyńskiego 48, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;329;350;40;78
