"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BODNAR Włodzimierz - KW BEZPARTYJNI SAMORZĄDOWCY";"GOLBA Mieczysław Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"LASEK Dariusz Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WOŚ Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"DRAPAK Maria Halina - KWW RDIP"
8;"Szkoła Podstawowa w Łętowni, Łętownia 54, 37-700 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;66;182;44;64;5
9;"Świetlica Wiejska w Kuńkowcach, Kuńkowce 135, 37-700 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;64;144;35;85;11
10;"Świetlica Wiejska w Wapowcach, Wapowce 5A, 37-700 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;54;117;16;55;5
11;"Zespół Szkół w Ostrowie, Ostrów 29, 37-700 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;251;491;139;498;25
12;"Szkoła Podstawowa w Ujkowicach, Ujkowice 159, 37-713 Maćkowice";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;92;269;56;48;9
13;"Świetlica wiejska w Rożubowicach, Rożubowice 90, 37-733 Rożubowice";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;27;98;12;19;2
14;"Świetlica wiejska w Stanisławczyku, Stanisławczyk 2, 37-733 Stanisławczyk";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;37;76;12;28;2
1;"Świetlica Wiejska w Gajach, Hruszowice 50A, 37-724 Kalników";181309;"gm. Stubno";"przemyski";"podkarpackie";1;1;31;68;13;17;2
2;"Szkoła Podstawowa w Kalnikowie, Kalników 87, 37-724 Kalników";181309;"gm. Stubno";"przemyski";"podkarpackie";1;1;124;174;55;83;12
3;"Świetlica Wiejska w Nakle, Nakło 58, 37-723 Stubno";181309;"gm. Stubno";"przemyski";"podkarpackie";1;1;74;177;33;41;6
4;"Sala Narad Urzędu Gminy Stubno, Stubno 69A, 37-723 Stubno";181309;"gm. Stubno";"przemyski";"podkarpackie";1;1;98;271;67;121;22
5;"Świetlica Wiejska w Stubienku, Stubienko 49B, 37-723 Stubno";181309;"gm. Stubno";"przemyski";"podkarpackie";1;1;27;60;15;20;5
6;"Świetlica Wiejska w Baryczu, Barycz 18A, 37-723 Stubno";181309;"gm. Stubno";"przemyski";"podkarpackie";1;1;19;66;9;11;2
1;"Dom Ludowy w Batyczach, Batycze 120, 37-713 Maćkowice";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;30;74;12;12;6
2;"Szkoła Podstawowa w Bolestraszycach, Bolestraszyce 156, 37-722 Wyszatyce";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;123;418;85;165;14
3;"Szkoła Podstawowa w Buszkowicach, Buszkowice 138, 37-710 Żurawica";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;75;211;74;105;11
4;"Dom Ludowy w Buszkowiczkach, Buszkowiczki 38, 37-710 Żurawica";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;78;171;51;92;5
5;"Dom Ludowy w Kosienicach, Kosienice 103B, 37-713 Maćkowice";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;73;239;29;59;12
6;"Budynek OSP w Maćkowicach, Maćkowice 58, 37-713 Maćkowice";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;62;251;56;86;8
7;"Dom Ludowy w Orzechowcach, Orzechowce 85, 37-712 Orzechowce";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;107;298;51;79;13
8;"Dom Ludowy w Wyszatycach, Wyszatyce 160, 37-722 Wyszatyce";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;114;415;62;103;13
9;"Polski Dom Katolicki w Żurawicy, ul. Wojska Polskiego 1, 37-710 Żurawica";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;174;347;82;247;14
10;"Urząd Gminy Żurawica, ul. Ojca Św. Jana Pawła II 1, 37-710 Żurawica";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;144;433;89;211;26
11;"Szkoła Podstawowa Nr 2 w Żurawicy, ul. Kardynała Stefana Wyszyńskiego 3, 37-710 Żurawica";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;187;361;86;211;22
12;"Wojewódzki Podkarpacki Szpital Psychiatryczny im. prof. Eugeniusza Brzezickiego w Żurawicy, ul. Różana 9, 37-710 Żurawica";181310;"gm. Żurawica";"przemyski";"podkarpackie";1;1;14;51;11;16;1
1;"Środowiskowy Dom Samopomocy, ul. Niepodległości 9, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;81;281;40;178;12
2;"I Liceum Ogólnokształcące, ul. Szkolna 6, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;68;184;28;147;10
3;"I Liceum Ogólnokształcące, ul. Szkolna 6, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;81;263;42;153;18
4;"Urząd Miasta Przeworska, ul. Jagiellońska 10, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;107;226;46;209;11
5;"Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 5, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;155;470;65;253;18
6;"Szkoła Podstawowa Nr 2, ul. Lwowska 11, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;106;218;40;202;15
7;"Wyższa Szkoła Społeczno-Gospodarcza, ul. Gimnazjalna 35, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;90;299;60;196;10
8;"Dzienny Dom ""Senior +"", ul. Wiejska 68, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;106;299;40;132;10
9;"Szkoła Podstawowa Nr 2, ul. Misiągiewicza 10, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;111;270;21;171;17
10;"Szkoła Podstawowa Nr 2, ul. Misiągiewicza 10, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;93;293;71;224;20
11;"Zespół Szkół Zawodowych, ul. Ignacego Krasickiego 9, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;151;411;79;296;16
12;"Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 5, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;77;247;53;187;7
13;"Szkoła Podstawowa Nr 3, ul. Gorliczyńska 148, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;57;213;50;69;4
14;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Przeworsku, ul. Szpitalna 16, 37-200 Przeworsk";181401;"m. Przeworsk";"przeworski";"podkarpackie";1;1;11;42;2;10;1
1;"Sala Gimnastyczna przy Szkole Podstawowej im. Jana Pawła II w Adamówce, Adamówka 180, 37-534 Adamówka";181402;"gm. Adamówka";"przeworski";"podkarpackie";1;1;71;296;58;134;13
2;"Świetlica Wiejska w Cieplicach, Cieplice 46, 37-534 Adamówka";181402;"gm. Adamówka";"przeworski";"podkarpackie";1;1;36;244;24;67;6
3;"Sala Gimnastyczna przy Szkołe Podstawowej im Bł. Ks. Jerzego Popiełuszki w Majdanie Sieniawskim, Majdan Sieniawski 197, 37-534 Adamówka";181402;"gm. Adamówka";"przeworski";"podkarpackie";1;1;64;433;69;146;9
4;"Świetlica Wiejska w Krasnem, Krasne 30, 37-534 Adamówka";181402;"gm. Adamówka";"przeworski";"podkarpackie";1;1;37;129;17;63;2
5;"Świetlica Wiejska w Dobczy, Dobcza 36, 37-534 Dobcza";181402;"gm. Adamówka";"przeworski";"podkarpackie";1;1;11;54;6;13;3
1;"Gminny Ośrodek Kultury w Gaci, Gać 275a, 37-207 Gać";181403;"gm. Gać";"przeworski";"podkarpackie";1;1;126;419;102;169;25
2;"Dzienny Dom ""Senior Wigor"" w Białobokach, Białoboki 2, 37-207 Gać";181403;"gm. Gać";"przeworski";"podkarpackie";1;1;47;196;34;63;6
3;"Klub Dziecięcy, Ostrów 166A, 37-207 Gać";181403;"gm. Gać";"przeworski";"podkarpackie";1;1;29;92;23;42;5
4;"Świetlica wiejska w Mikulicach (budynek byłej remizy OSP), Mikulice 113A, 37-220 Kańczuga";181403;"gm. Gać";"przeworski";"podkarpackie";1;1;34;141;28;38;2
5;"Szkoła Podstawowa w Dębowie, Dębów 47, 37-200 Przeworsk";181403;"gm. Gać";"przeworski";"podkarpackie";1;1;78;450;51;71;10
6;"Świetlica wiejska w Wolicy, Wolica 56, 37-207 Gać";181403;"gm. Gać";"przeworski";"podkarpackie";1;1;10;86;9;18;2
1;"Urząd Gminy Jawornik Polski, Jawornik Polski 30, 37-232 Jawornik Polski";181404;"gm. Jawornik Polski";"przeworski";"podkarpackie";1;1;145;482;75;187;50
2;"Remiza OSP Hadle Szklarskie, Hadle Szklarskie 62, 37-231 Jawornik Polski";181404;"gm. Jawornik Polski";"przeworski";"podkarpackie";1;1;25;176;26;40;8
3;"Remiza OSP Hucisko Jawornickie, Hucisko Jawornickie 267, 37-230 Kańczuga";181404;"gm. Jawornik Polski";"przeworski";"podkarpackie";1;1;38;112;7;37;7
4;"Zespół Szkół i Placówek, Manasterz 575, 37-230 Kańczuga";181404;"gm. Jawornik Polski";"przeworski";"podkarpackie";1;1;46;231;37;89;11
5;"Wiejski Dom Kultury w Hadlach Kańczuckich, Hadle Kańczuckie 44, 37-232 Jawornik Polski";181404;"gm. Jawornik Polski";"przeworski";"podkarpackie";1;1;15;80;11;7;9
6;"Remiza OSP w Widaczowie, Widaczów 129, 37-232 Jawornik Polski";181404;"gm. Jawornik Polski";"przeworski";"podkarpackie";1;1;18;62;13;22;2
7;"Remiza OSP w Zagórzu, Zagórze 216, 37-230 Manasterz";181404;"gm. Jawornik Polski";"przeworski";"podkarpackie";1;1;23;121;23;41;4
1;"Ośrodek Kultury Miasta i Gminy w Kańczudze, ul. Parkowa 1A, 37-220 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;145;339;70;221;12
2;"Szkoła Podstawowa im. Poległych w Strajku w 1936 r. w Krzeczowicach, Krzeczowice 56A, 37-220 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;91;305;60;116;5
3;"Dom Kultury w Łopuszce Wielkiej, Łopuszka Wielka 134, 37-222 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;93;438;68;133;14
4;"Szkoła Podstawowa im. Św. Jana Kantego w Pantalowicach, Pantalowice 158 B, 37-224 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;80;259;44;118;10
5;"Szkoła Podstawowa im. Jana Pawła II w Rączynie, Rączyna 146, 37-223 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;78;244;28;59;11
6;"Dom Strażaka w Sieteszy, Sietesz 286, 37-206 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;120;399;71;186;18
7;"Szkoła Podstawowa im. Jana i Marii Jędrzejowskich w Siedleczce, Siedleczka 179, 37-225 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;89;234;58;139;16
8;"Dom Ludowy w Łopuszce Małej, Łopuszka Mała 60, 37-220 Łopuszka Mała";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;54;129;18;70;3
9;"Hala Sportowa w Kańczudze, ul. Parkowa 10, 37-220 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;186;340;67;220;16
10;"Dom Ludowy w Niżatycach, Niżatyce 15, 37-220 Niżatyce";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;32;158;27;56;1
11;"Remiza Ochotniczej Straży Pożarnej w Żuklinie, Żuklin 60, 37-220 Żuklin";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;35;98;13;28;5
12;"Dzienny Dom Senior+ w Lipniku, Lipnik 67, 37-206 Kańczuga";181405;"gm. Kańczuga";"przeworski";"podkarpackie";1;1;11;65;10;6;5
1;"Szkoła Podstawowa w Chałupkach, Chałupki 109, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;32;260;32;60;7
2;"Przedszkole Samorządowe p. n. ""Mali Odkrywcy"" w Gorliczynie, Gorliczyna 148, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;123;542;84;155;9
3;"Wiejski Dom Kultury w Grzęsce, Grzęska 199, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;123;627;120;179;14
4;"Wiejski Dom Kultury w Gwizdaju, Gwizdaj al. Jana Pawła II 3A, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;29;127;31;36;2
5;"Wiejski Dom Kultury w Mirocinie, Mirocin 386, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;108;416;61;82;5
6;"Wiejski Dom Kultury w Nowosielcach, Nowosielce 565, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;106;563;90;73;15
7;"Szkoła Podstawowa w Rozborzu, Rozbórz 583, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;165;649;101;206;9
8;"Wiejski Dom Kultury w Studzianie, Studzian 302, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;159;495;66;157;17
9;"Wiejski Dom Kultury w Świętoniowej, Świętoniowa 233, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;57;322;56;63;10
10;"Wiejski Dom Kultury w Ujeznej, Ujezna 223, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;44;284;38;35;0
11;"Wiejski Dom Kultury w Urzejowicach, Urzejowice 484, 37-200 Przeworsk";181406;"gm. Przeworsk";"przeworski";"podkarpackie";1;1;137;549;85;128;24
1;"Remizo-świetlica w Czercach, Czerce 130, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;17;120;10;83;1
2;"Remizo-świetlica w Czerwonej Woli, Czerwona Wola 130, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;34;173;9;69;5
3;"Remizo-świetlica w Dobrej, Dobra 143, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;15;140;20;73;3
4;"Remizo-świetlica w Dybkowie, Dybków 36A, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;47;229;28;140;9
5;"Dom Ludowy w Leżachowie, Leżachów 80A, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;12;101;20;93;3
6;"Dom Ludowy w Piganach, Pigany 70, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;28;147;31;101;5
7;"Remizo-świetlica w Rudce, Rudka 205A, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;18;213;15;86;2
8;"Szkoła Podstawowa w Sieniawie, ul. Rynek 4, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;93;464;67;472;20
9;"Remizo-świetlica w Wylewie, Wylewa 69A, 37-530 Sieniawa";181407;"gm. Sieniawa";"przeworski";"podkarpackie";1;1;29;222;29;97;8
1;"Sala przy Ochotniczej Straży Pożarnej, Tryńcza 375A, 37-204 Tryńcza";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;50;458;50;103;14
2;"Wiejski Dom Kultury Gorzyce, Gorzyce 88, 37-204 Tryńcza";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;51;435;58;123;15
3;"Wiejski Dom Kultury w Gniewczynie Łańcuckiej, Gniewczyna Łańcucka 621, 37-203 Gniewczyna Łańcucka";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;130;806;102;129;17
4;"Zespół Szkoły: Podstawowej i Przedszkola Samorządowego w Jagielle, Jagiełła 275, 37-203 Gniewczyna Łańcucka";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;47;434;66;61;3
5;"Wiejski Dom Kultury w Głogowcu, Głogowiec 60, 37-204 Tryńcza";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;13;90;9;29;3
6;"Wiejski Dom Kultury w Gniewczynie Trynieckiej, Gniewczyna Tryniecka 27, 37-203 Gniewczyna Łańcucka";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;36;350;31;66;9
7;"Szkoła Filialna im. Tadeusza Kościuszki w Ubieszynie, Ubieszyn 65, 37-204 Tryńcza";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;41;185;41;35;4
8;"Wiejski Dom Kultury w Wólce Małkowej, Wólka Małkowa 43, 37-204 Tryńcza";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;10;95;7;23;3
9;"Wiejski Dom Kultury w Wólce Ogryzkowej, Wólka Ogryzkowa 23, 37-204 Tryńcza";181408;"gm. Tryńcza";"przeworski";"podkarpackie";1;1;16;88;7;25;2
1;"Zespół Szkół w Zarzeczu, ul. Świętego Jana Pawła II 7, 37-205 Zarzecze";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;128;479;68;160;14
2;"Szkoła Podstawowa im. Marii Konopnickiej w Siennowie, Siennów 227, 37-205 Zarzecze";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;104;243;45;118;9
3;"Szkoła Podstawowa im. św. Brata Alberta w Żurawiczkach, Żurawiczki 82, 37-200 Przeworsk";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;100;355;80;108;7
4;"Remiza OSP w Maćkówce, Maćkówka 100a, 37-200 Przeworsk";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;91;265;26;62;7
5;"Szkoła Filialna im. Orła Białego w Pełnatyczach, Pełnatycze 16, 37-205 Zarzecze";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;46;226;31;65;1
6;"Remiza OSP w Rożniatowie, Rożniatów 46, 37-205 Zarzecze";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;33;207;36;46;8
7;"Remiza OSP, Zalesie 51, 37-205 Zarzecze";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;29;154;18;27;7
8;"Remiza OSP Kisielów, Kisielów 74, 37-205 Zarzecze";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;33;168;14;39;1
9;"Remiza OSP, Łapajówka 69, 37-205 Zarzecze";181409;"gm. Zarzecze";"przeworski";"podkarpackie";1;1;19;84;16;14;3
1;"Klub ""Górnika"", ul. Grzegorza z Sanoka 2, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;100;251;49;240;13
2;"Szkoła Podstawowa Nr 8, ul. Jana III Sobieskiego 5, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;106;271;48;237;9
3;"Samorządowe Przedszkole Publiczne Nr 1, ul. Rymanowska 15, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;103;307;40;305;12
4;"Uczelnia Państwowa im. Jana Grodka, ul. Adama Mickiewicza 21, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;127;230;53;288;11
5;"Budynek Rady Dzielnicy Dąbrówka, ul. Krakowska 36, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;183;486;81;357;7
6;"Filia Samorządowego Przedszkola Publicznego Nr 1, ul. Piastowska 47, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;177;381;67;222;17
7;"Szkoła Podstawowa Nr 9, ul. Jana Pawła II 25, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;129;309;57;318;17
8;"Samorządowe Przedszkole Publiczne Nr 2, ul. Sadowa 11, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;148;376;60;256;14
9;"Szkoła Podstawowa Nr 4, ul. Sadowa 12, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;139;360;67;303;17
10;"Szkoła Podstawowa Nr 9, ul. Jana Pawła II 25, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;95;212;52;251;11
11;"Osiedlowy Dom Kultury ""Puchatek"", ul. Romualda Traugutta 9, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;110;299;55;259;15
12;"Żłobek Samorządowy Nr 2, ul. Romualda Traugutta 23, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;139;302;65;313;18
13;"ADBUD II Przedsiębiorstwo Budowlane Sp. z o. o., ul. Młynarska 43, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;156;263;75;311;18
14;"Samorządowe Przedszkole Publiczne Nr 3, ul. J. Kochanowskiego 2, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;135;336;63;351;6
15;"Szkoła Podstawowa Nr 1, ul. Aleja Szwajcarii 5, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;139;297;51;319;13
16;"Uczelnia Państwowa im. Jana Grodka, ul. Reymonta S. 6, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;125;267;51;277;21
17;"Szkoła Podstawowa Nr 6, ul. Przemyska 80, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;268;536;130;566;27
18;"Samorządowe Przedszkole Publiczne Nr 4, ul. Robotnicza 13a, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;137;402;62;288;14
19;"Szkoła Podstawowa Nr 3, ul. Stróżowska 4, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;198;401;103;460;16
20;"Dworzec Multimodalny, ul. Kazimierza Lipińskiego 31, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;151;332;71;242;9
21;"I Liceum Ogólnokształcące, ul. Zagrody 1, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;156;289;59;366;12
22;"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Sanoku-Szpital Specjalistyczny, ul. 800-lecia 26, 38-500 Sanok";181701;"m. Sanok";"sanocki";"podkarpackie";1;1;4;28;5;10;1
1;"Szkoła Podstawowa w Besku, ul. Kolejowa 54, 38-524 Besko";181702;"gm. Besko";"sanocki";"podkarpackie";1;1;101;391;61;119;15
2;"Szkoła Podstawowa w Besku, ul. Kolejowa 54, 38-524 Besko";181702;"gm. Besko";"sanocki";"podkarpackie";1;1;75;323;64;120;11
3;"Gminny Ośrodek Kultury w Besku, ul. Starowiejska 64, 38-524 Besko";181702;"gm. Besko";"sanocki";"podkarpackie";1;1;74;373;58;90;15
4;"Świetlica Młodzieżowa w Mymoniu, Mymoń ul. Olza 8, 38-524 Besko";181702;"gm. Besko";"sanocki";"podkarpackie";1;1;30;81;20;25;4
1;"Urząd Gminy (sala narad) w Bukowsku, Bukowsko 290, 38-505 Bukowsko";181703;"gm. Bukowsko";"sanocki";"podkarpackie";1;1;165;514;123;152;23
2;"Zespół Szkół w Nowotańcu, Nowotaniec 77, 38-505 Bukowsko";181703;"gm. Bukowsko";"sanocki";"podkarpackie";1;1;176;346;96;156;14
3;"Zespół Szkół w Pobiednie, Pobiedno 105, 38-505 Bukowsko";181703;"gm. Bukowsko";"sanocki";"podkarpackie";1;1;74;307;59;75;7
4;"Remiza OSP w Wolicy, Wolica 22, 38-505 Bukowsko";181703;"gm. Bukowsko";"sanocki";"podkarpackie";1;1;37;85;18;27;2
5;"Wiejski Dom Spotkań Kulturalnych w Woli Piotrowej, Wola Piotrowa 41, 38-505 Bukowsko";181703;"gm. Bukowsko";"sanocki";"podkarpackie";1;1;35;25;32;34;2
6;"Remiza OSP w Tokarni, Tokarnia 35, 38-505 Tokarnia";181703;"gm. Bukowsko";"sanocki";"podkarpackie";1;1;8;59;10;5;6
1;"Urząd Gminy w Komańczy, Komańcza 166, 38-543 Komańcza";181704;"gm. Komańcza";"sanocki";"podkarpackie";1;1;144;198;49;143;13
2;"Szkoła Podstawowa w Wisłoku Wielkim, Wisłok Wielki 26A, 38-543 Komańcza";181704;"gm. Komańcza";"sanocki";"podkarpackie";1;1;13;46;16;20;2
3;"Ośrodek Kultury w Szczawnem, Szczawne 32, 38-542 Rzepedź";181704;"gm. Komańcza";"sanocki";"podkarpackie";1;1;44;96;27;77;7
4;"Świetlica Zakładu Karnego w Nowym Łupkowie, Nowy Łupków 46, 38-543 Komańcza";181704;"gm. Komańcza";"sanocki";"podkarpackie";1;1;45;96;26;166;9
5;"Rzepedzki Ośrodek Kultury w Rzepedzi, ul. Osiedle A 19A, 38-542 Rzepedź";181704;"gm. Komańcza";"sanocki";"podkarpackie";1;1;92;194;34;193;10
6;"Świetlica wiejska (osiedle) w Czystogarbie, Czystogarb 37, 38-543 Komańcza";181704;"gm. Komańcza";"sanocki";"podkarpackie";1;1;9;40;10;33;3
7;"Świetlica wiejska w Turzańsku, Turzańsk 45, 38-542 Turzańsk";181704;"gm. Komańcza";"sanocki";"podkarpackie";1;1;17;74;13;42;2
8;"Świetlica na terenie Zakładu Karnego w Łupkowie, Nowy Łupków 45, 38-543 Komańcza";181704;"gm. Komańcza";"sanocki";"podkarpackie";1;1;19;34;29;82;13
1;"Wiejski Dom Kultury w Stróżach Małych, Stróże Małe 54a, 38-500 Sanok";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;62;193;42;93;4
2;"Szkoła Podstawowa w Niebieszczanach, Niebieszczany 492, 38-504 Niebieszczany";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;117;713;117;100;16
3;"Szkoła Podstawowa w Prusieku, Prusiek 157, 38-504 Niebieszczany";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;82;200;38;58;9
4;"Wiejski Dom Kultury w Markowcach, Markowce 29, 38-533 Nowosielce";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;37;98;30;25;1
5;"Szkoła Podstawowa w Sanoczku, Sanoczek 206, 38-500 Sanok";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;66;234;54;84;10
6;"Wiejski Dom Kultury w Zabłotcach, Zabłotce 100, 38-500 Sanok";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;69;102;27;67;8
7;"Szkoła Podstawowa w Pisarowcach, Pisarowce 92, 38-533 Nowosielce";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;85;258;62;125;10
8;"Szkoła Podstawowa w Czerteżu, Czerteż 133, 38-500 Sanok";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;82;134;32;90;5
9;"Wiejski Dom Kultury w Kostarowcach, Kostarowce 224, 38-507 Jurowce";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;46;255;38;68;7
10;"Wiejski Dom Kultury w Jurowcach, Jurowce 110, 38-507 Jurowce";181705;"gm. Sanok";"sanocki";"podkarpackie";1;1;58;210;44;64;4
