"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MALCZYK Łukasz Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"KAMIŃSKI Michał Tomasz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SOCHA Barbara Jadwiga - KW PRAWO I SPRAWIEDLIWOŚĆ";"WALO Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
10;"Zespół Szkół, ul. Karola Namysłowskiego 11, 05-820 Piastów";142101;"m. Piastów";"pruszkowski";"mazowieckie";1;1;142;937;415;169
1;"Przedszkole Miejskie Nr 8, ul. Mostowa 2, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;151;928;538;186
2;"Szkoła Podstawowa Nr 5 im. Ignacego Jana Paderewskiego, ul. Jana Długosza 53, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;172;1065;447;184
3;"Przedszkole Miejskie Nr 1, ul. Jarzynowa 21, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;136;857;316;166
4;"Szkoła Podstawowa Nr 9 im. Marii Skłodowskiej-Curie, ul. Mostowa 6, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;165;1063;579;191
5;"Zespół Szkół Nr 1 im. Stanisława Staszica, ul. Promyka 24/26, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;79;531;276;90
6;"Szkoła Podstawowa Nr 10 im. Marii Konopnickiej, ul. Pływacka 16, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;90;773;388;129
7;"Szkoła Mistrzostwa Sportowego-Liceum Ogólnokształcące, ul. Juliana Gomulińskiego 2, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;103;578;337;87
8;"Przedszkole Miejskie Nr 15, ul. Dębowa 8, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;95;710;352;118
9;"Miejski Ośrodek Pomocy Społecznej, ul. Helenowska 3a, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;115;911;511;141
10;"Przedszkole Miejskie Nr 14 ""Różany Ogród"", ul. Jasna 2, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;87;588;413;79
11;"Szkoła Podstawowa Nr 2 im. Kornela Makuszyńskiego, ul. Jasna 2, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;116;786;372;112
12;"Szkoła Podstawowa Nr 8 im. Władysława Broniewskiego, ul. Obrońców Pokoju 44, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;133;1231;397;166
13;"Liceum Ogólnokształcące im. Tomasza Zana, ul. Ignacego Daszyńskiego 6, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;102;563;286;112
14;"Szkoła Podstawowa nr 3 im. Miry Zimińskiej-Sygietyńskiej, ul. Aleja Wojska Polskiego 34, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;131;832;364;133
15;"Przedszkole Miejskie Nr 10, ul. Fryderyka Chopina 13, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;80;506;303;105
16;"Liceum Ogólnokształcące im. Tadeusza Kościuszki, ul. Tadeusza Kościuszki 38, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;141;1028;363;146
17;"Przedszkole Miejskie Nr 4 ""Pod Kasztanami"", ul. Bolesława Prusa 27, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;103;760;313;129
18;"Szkoła Podstawowa Nr 4 im. Jana Pawła II, ul. Hubala 4, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;109;713;387;135
19;"Żłobek Miejski Nr 1, ul. Hubala 3, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;107;843;452;121
20;"Szkoła Podstawowa Nr 1 im. Józefa Piłsudskiego, ul. Topolowa 10, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;117;843;459;106
21;"Przedszkole Niepubliczne ""Jedynka"", ul. Sadowa 62, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;90;699;323;105
22;"Przedszkole Miejskie Nr 12, ul. Andrzeja 12, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;63;504;244;47
23;"Dzienny Dom Pomocy Społecznej, ul. Księcia Józefa 1, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;110;1006;443;113
24;"Szkoła Podstawowa Nr 6 im. Henryka Sienkiewicza, ul. Lipowa 31, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;137;1257;512;149
25;"Szkoła Podstawowa Nr 3 im. Miry Zimińskiej-Sygietyńskiej, ul. Aleja Wojska Polskiego 34, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;108;902;284;140
26;"Przedszkole Miejskie Nr 13, ul. Antka 7, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;132;1146;525;148
27;"Mazowieckie Specjalistyczne Centrum Zdrowia im. prof. dr Jana Mazurkiewicza, ul. Partyzantów 2/4, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;26;65;107;27
28;"Szpital Kolejowy im. dr med. Włodzimierza Roeflera, ul. Warsztatowa 1, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;2;31;25;4
29;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Pruszkowie, ul. Aleja Armii Krajowej 2/4, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;1;17;7;2
30;"Dom Seniora w Pruszkowie, ul. Ożarowska 2, 05-800 Pruszków";142102;"m. Pruszków";"pruszkowski";"mazowieckie";1;1;3;19;4;0
1;"Szkoła Podstawowa nr 1, ul. Marszałka Józefa Piłsudskiego 11, 05-840 Brwinów";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;101;724;428;100
2;"Hala sportowa, ul. Wacława Moczydłowskiego 2, 05-840 Brwinów";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;99;375;268;59
3;"Sala Konferencyjna na Stadionie Miejskim, ul. Turystyczna 4, 05-840 Brwinów";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;51;381;215;57
4;"Niepubliczne Przedszkole Integracyjne Sióstr Rodziny Maryi, ul. Szkolna 18, 05-840 Brwinów";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;98;697;392;107
5;"OSP, ul. Pszczelińska 3, 05-840 Brwinów";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;89;713;371;91
6;"Urząd Gminy Brwinów, ul. Grodziska 12, 05-840 Brwinów";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;80;634;324;105
7;"Przedszkole nr 1, ul. Stanisława Lilpopa 4, 05-840 Brwinów";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;103;824;467;110
8;"Liceum Ogólnokształcące, ul. Żwirowa 16, 05-840 Brwinów";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;78;556;210;69
9;"OSP, Biskupice 51, 05-840 Biskupice";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;40;151;182;37
10;"Świetlica GOK, ul. Małego Księcia 14, 05-840 Domaniew";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;45;288;239;54
11;"Dom Gościnny Zalewskich, ul. 36 Pułku Piechoty Legii Akademickiej 10, 05-804 Parzniew";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;130;750;262;145
12;"Świetlica GOK, ul. Marszałka Józefa Piłsudskiego 55, 05-805 Kanie";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;112;999;448;125
13;"Świetlica GOK, ul. Krótka 10, 05-805 Otrębusy";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;55;479;220;73
14;"Szkoła Podstawowa, ul. dr. Mariana Piaseckiego 2, 05-805 Otrębusy";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;81;685;231;63
15;"Świetlica GOK, ul. Cyprysowa 4, 05-807 Owczarnia";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;75;640;237;82
16;"Przedszkole, ul. Nadarzyńska 42, 05-807 Żółwin";142103;"gm. Brwinów";"pruszkowski";"mazowieckie";1;1;99;821;286;116
1;"Świetlica wiejska, Opacz-Kolonia ul. Ryżowa 90, 05-816 Michałowice";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;78;738;293;108
2;"Szkoła Podstawowa w Michałowicach, ul. Szkolna 15, 05-816 Michałowice";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;88;804;313;102
3;"Szkoła Podstawowa w Michałowicach, ul. Szkolna 15, 05-816 Michałowice";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;84;871;375;88
4;"Świetlica wiejska, Reguły ul. Wiejska 13, 05-816 Michałowice";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;103;795;318;115
5;"Świetlica wiejska, Pęcice Małe ul. Brzozowa 18, 05-806 Komorów";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;48;447;166;69
6;"Świetlica wiejska, Suchy Las ul. Księdza Michała Woźniaka 6, 05-806 Komorów";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;23;75;119;30
7;"Świetlica wiejska, ul. Kaliszany 18, 05-806 Komorów";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;48;426;161;60
8;"Zespół Szkół Ogólnokształcących (korytarz), ul. Aleja Marii Dąbrowskiej 12/20, 05-806 Komorów";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;58;644;157;52
9;"Zespół Szkół Ogólnokształcących (stołówka), ul. Aleja Marii Dąbrowskiej 12/20, 05-806 Komorów";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;49;555;175;70
10;"Zespół Szkół Ogólnokształcących (sala gimnastyczna), ul. Aleja Marii Dąbrowskiej 12/20, 05-806 Komorów";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;42;479;182;58
11;"Świetlica osiedlowa, Granica ul. Czeremchy 1, 05-806 Komorów";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;99;916;390;114
12;"Świetlica wiejska, Nowa Wieś ul. Główna 52B, 05-806 Komorów";142104;"gm. Michałowice";"pruszkowski";"mazowieckie";1;1;100;993;422;153
1;"Szkoła Podstawowa w Nadarzynie, ul. Sitarskich 4, 05-830 Nadarzyn";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;148;1087;511;156
2;"Nadarzyński Ośrodek Kultury w Nadarzynie, pl. Plac Poniatowskiego 42, 05-830 Nadarzyn";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;91;673;242;72
3;"Remiza Ochotniczej Straży Pożarnej w Nadarzynie, ul. Warszawska 15, 05-830 Nadarzyn";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;123;1044;337;147
4;"Szkoła Podstawowa w Ruścu, Rusiec ul. Osiedlowa 72, 05-830 Nadarzyn";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;200;1411;511;223
5;"Przedszkole Publiczne w Młochowie, ul. Źródlana 3, 05-831 Młochów";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;93;546;312;138
6;"Przedszkole Publiczne w Wolicy, Wolica ul. Złotego Kłosa 6, 05-830 Nadarzyn";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;63;400;237;76
7;"Świetlica NOK w Rozalinie, Rozalin ul. Młochowska 59, 05-831 Młochów";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;43;305;166;61
8;"Świetlica przy Basenach Letnich w Strzeniówce, Strzeniówka ul. Działkowa 1, 05-830 Nadarzyn";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;67;502;176;42
9;"Świetlica NOK w Urzucie, Urzut ul. Aleja Katowicka 360, 05-831 Młochów";142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";1;1;33;235;148;36
1;"Szkoła Podstawowa w Sękocinie, Słomin ul. Wierzbowa 5, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;69;534;332;115
2;"Ochotnicza Straż Pożarna w Falentach, Falenty ul. Aleja Hrabska 2, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;60;372;229;64
3;"Szkoła Podstawowa w Ładach, Dawidy Bankowe ul. Długa 49, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;150;920;333;157
4;"Szkoła Podstawowa w Ładach, Dawidy Bankowe ul. Długa 49, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;66;546;207;85
5;"Austeria, ul. Al. Krakowska 1, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;95;582;389;99
6;"Centrum Kultury Raszyn, ul. Al. Krakowska 29A, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;110;699;563;146
7;"Przedszkole nr 1 w Raszynie, ul. Pruszkowska 21C, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;63;357;340;71
8;"Szkoła Podstawowa w Raszynie (Dawne Gimnazjum), ul. Unii Europejskiej 1, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;69;440;216;72
9;"Szkoła Podstawowa w Raszynie, ul. Szkolna 2, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;87;571;342;86
10;"Świetlica Środowiskowa w Rybiu, Rybie ul. Spokojna 23, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;82;434;394;100
11;"Świetlica Środowiskowa w Rybiu, Rybie ul. Spokojna 23, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;83;406;318;78
12;"Świetlica Środowiskowa w Rybiu, Rybie ul. Spokojna 23, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;121;566;405;138
13;"Dom Rolnika w Jaworowej, Jaworowa ul. Warszawska 95, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;65;285;157;48
14;"Strażnica Dawidy, Dawidy ul. Warszawska 38A, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;22;133;90;30
15;"Zespół Pałacowo-Parkowy, Falenty ul. Aleja Hrabska 5, 05-090 Raszyn";142106;"gm. Raszyn";"pruszkowski";"mazowieckie";1;1;97;462;351;84
