"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TOMASZEWSKI Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUNIN Artur Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
151;"Szkoła Podstawowa nr 36 im. Zenona Wasilewskiego, ul. płk. dr. St. Więckowskiego 35, 90-734 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;340;825
152;"Zespół Szkół Ekonomiczno-Turystyczno-Hotelarskich im. Władysława Grabskiego, al. 1 Maja 89, 90-755 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;401;1240
153;"Szkoła Podstawowa nr 36 im. Zenona Wasilewskiego, ul. płk. dr. St. Więckowskiego 35, 90-734 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;441;1074
154;"Szkoła Podstawowa nr 152, ul. 28 Pułku Strzelców Kaniowskich 52/54, 90-559 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;293;884
155;"Zespół Szkolno-Przedszkolny Nr 4, ul. Kpt. Stefana Pogonowskiego 27/29, 90-745 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;348;825
156;"Szkoła Podstawowa nr 36 im. Zenona Wasilewskiego, ul. płk. dr. St. Więckowskiego 35, 90-734 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;456;1064
157;"Szkoła Podstawowa nr 160 im. Powstańców Śląskich, ul. Andrzeja Struga 24A, 90-513 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;157;378
158;"Szkoła Podstawowa nr 160 im. Powstańców Śląskich, ul. Andrzeja Struga 24A, 90-513 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;233;510
159;"I Liceum Ogólnokształcące im. Mikołaja Kopernika, ul. płk. dr. St. Więckowskiego 41, 90-734 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;253;558
160;"Zespół Szkolno-Przedszkolny Nr 4, ul. Kpt. Stefana Pogonowskiego 27/29, 90-745 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;255;604
161;"Szkoła Podstawowa nr 46 im. Józefa Chełmońskiego, ul. kpt. pilota Żwirki 11/13, 90-528 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;281;830
162;"Centrum Kształcenia Zawodowego i Ustawicznego w Łodzi, ul. Stefana Żeromskiego 115, 90-542 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;288;1038
163;"Szkoła Podstawowa nr 152 im. Elizy Orzeszkowej, ul. 28 Pułku Strzelców Kaniowskich 52/54, 90-559 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;198;625
164;"Zespół Szkół Specjalnych nr 2, ul. Karolewska 30/34, 90-561 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;452;1658
165;"XXI Liceum Ogólnokształcące im. Bolesława Prusa, ul. Mikołaja Kopernika 2, 90-509 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;304;852
166;"Szkoła Podstawowa nr 19, al. Ks. Kardynała Stefana Wyszyńskiego 100, 94-050 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;486;1749
167;"Integracyjna Szkoła Podstawowa nr 67 im. Janusza Korczaka, ul. Maratońska 47B, 94-102 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;348;758
168;"Integracyjna Szkoła Podstawowa nr 67 im. Janusza Korczaka, ul. Maratońska 47B, 94-102 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;327;873
169;"Szkoła Podstawowa nr 19, al. Ks. Kardynała Stefana Wyszyńskiego 100, 94-050 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;326;833
170;"Szkoła Podstawowa nr 44 im. prof. Jana Molla, ul. Janusza Kusocińskiego 100, 94-054 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;356;866
