"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWOSIELSKI Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAMĄTOW Robert Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASJANIUK Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"AUGUSTYNIAK Mirosław Jan - KWW M. AUGUSTYNIAK";"DĄBROWSKI Zbigniew - KW ZJEDNOCZENI";"ROGALSKI Bogusław - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
7;"Zespół Szkół Nr 2 z oddziałami integracyjnymi, ul. Polna 7, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;269;211;54;41;7;8
8;"Publiczna Szkoła Podstawowa Nr 1 im. Klaudyny Potockiej, ul. Marii Konopnickiej 5, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;568;319;67;51;9;11
9;"Publiczna Szkoła Podstawowa Nr 4 z klasami sportowymi im. Ireny Szewińskiej, ul. New Britain 1, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;270;288;84;19;20;14
10;"Żłobek Miejski, ul. Rafała Krajewskiego 3B, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;480;381;76;69;25;18
11;"Publiczna Szkoła Podstawowa Nr 4 z klasami sportowymi im. Ireny Szewińskiej, ul. New Britain 1, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;158;101;24;20;10;5
12;"Zespół Szkół Zawodowych im. Jana Ruszkowskiego, ul. Aleja Tysiąclecia 12, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;334;324;50;42;22;18
13;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Aleja Tysiąclecia 12, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;300;183;41;35;19;7
14;"Miejskie Centrum Kultury i Sztuki, ul. Plac Teatralny 4, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;412;238;50;33;19;13
15;"Świetlica Osiedlowa, ul. Na Skarpie 10, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;408;306;55;47;27;15
16;"Publiczna Szkoła Podstawowa nr 3 z oddziałami integracyjnymi, ul. Aleja Tysiąclecia 14, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;804;553;163;132;39;26
17;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Aleja Tysiąclecia 12, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;416;327;85;68;35;23
18;"Remiza Strażacka w Grominie, Gromin 35, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;41;72;12;9;2;4
19;"Remiza Strażacka w Kacicach, Kacice 24B, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;123;70;13;9;5;7
20;"Remiza Strażacka w Trzcińcu, Trzciniec 17, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;34;90;12;13;1;6
21;"Szpital Powiatowy Gajda-Med Sp. z o. o. w Pułtusku, ul. Teofila Kwiatkowskiego 19, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;10;21;1;4;4;1
22;"Dom Pomocy Społecznej w Pułtusku, ul. Teofila Kwiatkowskiego 19A, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;9;21;2;10;2;2
1;"Szkoła Podstawowa w Świerczach, ul. Pułtuska 26A, 06-150 Świercze";142405;"gm. Świercze";"pułtuski";"mazowieckie";1;1;250;307;78;27;18;22
2;"Szkoła Podstawowa w Świerczach, ul. Pułtuska 26A, 06-150 Świercze";142405;"gm. Świercze";"pułtuski";"mazowieckie";1;1;156;266;71;25;9;28
3;"Szkoła Podstawowa w Strzegocinie, Strzegocin 4, 06-150 Świercze";142405;"gm. Świercze";"pułtuski";"mazowieckie";1;1;165;264;52;20;7;22
4;"Świetlica Wiejska, Kowalewice Włościańskie 42, 06-150 Świercze";142405;"gm. Świercze";"pułtuski";"mazowieckie";1;1;153;185;33;41;8;14
5;"budynek po byłej Szkole Podstawowej, Świeszewo 8, 06-150 Świercze";142405;"gm. Świercze";"pułtuski";"mazowieckie";1;1;97;170;37;28;7;14
1;"Zespół Szkół CKR w Golądkowie, Golądkowo 41F, 06-120 Winnica";142406;"gm. Winnica";"pułtuski";"mazowieckie";1;1;127;206;38;37;11;14
2;"Publiczna Szkoła Podstawowa w Błędostowie, Błędostowo 23, 06-120 Winnica";142406;"gm. Winnica";"pułtuski";"mazowieckie";1;1;103;203;43;16;7;22
3;"Urząd Gminy w Winnicy, ul. Pułtuska 25, 06-120 Winnica";142406;"gm. Winnica";"pułtuski";"mazowieckie";1;1;178;326;62;38;14;18
4;"Zespół Placówek Oświatowych w Winnicy Publiczna Szkoła Podstawowa w Winnicy, ul. Pułtuska 19, 06-120 Winnica";142406;"gm. Winnica";"pułtuski";"mazowieckie";1;1;274;368;80;52;32;23
1;"Zespół Placówek Oświatowych w Zatorach, ul. Jana Pawła II 69, 07-217 Zatory";142407;"gm. Zatory";"pułtuski";"mazowieckie";1;1;228;253;59;44;9;13
2;"Zespół Placówek Oświatowych w Zatorach, ul. Jana Pawła II 69, 07-217 Zatory";142407;"gm. Zatory";"pułtuski";"mazowieckie";1;1;187;250;48;41;16;14
3;"Świetlica Wiejska w Nowych Borsukach, Nowe Borsuki 16A, 07-217 Zatory";142407;"gm. Zatory";"pułtuski";"mazowieckie";1;1;103;93;17;12;4;2
4;"Budynek po byłej Szkole Podstawowej w Ciskach, Ciski 23, 07-217 Zatory";142407;"gm. Zatory";"pułtuski";"mazowieckie";1;1;99;173;42;15;4;9
5;"Szkoła Podstawowa w Pniewie, Pniewo ul. 18 Maja 6, 07-214 Zatory";142407;"gm. Zatory";"pułtuski";"mazowieckie";1;1;194;411;80;43;9;23
6;"Budynek po byłym Samorządowym Punkcie Przedszkolnym w Gładczynie Rządowym, Gładczyn Rządowy 17, 07-214 Zatory";142407;"gm. Zatory";"pułtuski";"mazowieckie";1;1;105;227;41;21;4;16
1;"Szkoła Podstawowa w Brańszczyku, ul. Nadbużna 3, 07-221 Brańszczyk";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;436;483;97;63;8;24
2;"Szkoła Podstawowa w Nowych Budach, Nowe Budy 32, 07-221 Brańszczyk";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;96;198;26;17;6;5
3;"Szkoła Podstawowa w Trzciance, Trzcianka 147, 07-221 Brańszczyk";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;181;298;68;26;10;16
4;"Szkoła Podstawowa w Turzynie, Turzyn 95, 07-221 Brańszczyk";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;114;216;44;24;7;9
5;"Szkoła Podstawowa w Nowej Wsi, Nowa Wieś 75, 07-210 Długosiodło";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;263;401;77;43;12;18
6;"Szkoła Podstawowa w Porębie, Poręba Średnia 18, 07-308 Poręba Średnia";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;316;458;106;57;13;22
7;"Szkoła Podstawowa w Knurowcu, Knurowiec 1, 07-221 Brańszczyk";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;59;125;29;8;6;8
8;"Dom Pomocy Społecznej w Brańszczyku, ul. Jana Pawła II 65, 07-221 Brańszczyk";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;9;31;3;7;4;0
9;"Dom Emeryta w Brańszczyku, ul. Jana Pawła II 1, 07-221 Brańszczyk";143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";1;1;4;27;1;1;1;0
1;"Urząd Gminy w Długosiodle, ul. Tadeusza Kościuszki 2, 07-210 Długosiodło";143502;"gm. Długosiodło";"wyszkowski";"mazowieckie";1;1;557;607;105;134;28;30
2;"Szkoła Podstawowa im. Papieża Jana Pawła II w Blochach, Blochy ul. Spacerowa 8, 07-210 Długosiodło";143502;"gm. Długosiodło";"wyszkowski";"mazowieckie";1;1;183;353;63;28;14;8
3;"Zespół Szkół w Starym Bosewie, Stare Bosewo ul. Rozwojowa 19, 07-210 Długosiodło";143502;"gm. Długosiodło";"wyszkowski";"mazowieckie";1;1;238;307;59;71;13;15
4;"Szkoła Podstawowa im. hm. ppor. AK ""Zośki"" T. Zawadzkiego w Sieczychach, Sieczychy 43, 07-211 Długosiodło";143502;"gm. Długosiodło";"wyszkowski";"mazowieckie";1;1;40;157;43;11;4;7
5;"Szkoła Podstawowa im. Janusza Korczaka w Dalekiem, Dalekie 69, 07-211 Długosiodło";143502;"gm. Długosiodło";"wyszkowski";"mazowieckie";1;1;128;297;55;30;7;12
6;"Gminne Centrum Informacji, Kultury, Sportu i Rekreacji Punkt Biblioteczny w Chrzczance Włościańskiej, Chrzczanka Włościańska ul. Wspólna 6, 07-210 Długosiodło";143502;"gm. Długosiodło";"wyszkowski";"mazowieckie";1;1;172;325;52;53;14;9
1;"Urząd Gminy w Rząśniku, ul. Jesionowa 3, 07-205 Rząśnik";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;280;515;118;75;12;24
2;"Szkoła Podstawowa im. Orła Białego w Komorowie, Komorowo 34, 07-205 Rząśnik";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;67;302;52;17;6;14
3;"Budynek Świetlicy Wiejskiej w Nowych Wielątkach, Nowe Wielątki 31, 07-205 Rząśnik";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;119;174;39;18;2;7
4;"Szkoła Podstawowa im. ks. Jana Trzaskomy w Porządziu, Porządzie 93, 07-205 Rząśnik";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;119;194;64;17;11;19
5;"Budynek Filii Gminnej Biblioteki Publicznej w Nowym Lubielu, Nowy Lubiel 28, 07-207 Rząśnik";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;99;185;41;44;0;11
6;"Szkoła Podstawowa im. Jana Pawła II w Bielinie, Bielino 32A, 07-207 Rząśnik";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;103;259;40;40;7;7
7;"Budynek Świetlicy Wiejskiej w Ochudnie, Ochudno 43, 07-200 Wyszków";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;83;160;27;20;3;5
8;"Budynek Domu Kultury w Dąbrowie, Dąbrowa 39, 07-205 Rząśnik";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;74;147;36;16;6;8
9;"Szkoła Podstawowa im. ks. Kardynała Stefana Wyszyńskiego w Starym Lubielu, Stary Lubiel 22A, 07-207 Rząśnik";143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";1;1;31;99;27;21;1;3
1;"Gminny Ośrodek Kultury w Somiance (parter), ul. Armii Krajowej 2, 07-203 Somianka";143504;"gm. Somianka";"wyszkowski";"mazowieckie";1;1;254;392;81;56;6;22
2;"Centrum Rekreacyjno-Turystyczne w Kręgach, Kręgi 7, 07-200 Wyszków";143504;"gm. Somianka";"wyszkowski";"mazowieckie";1;1;67;94;26;15;2;8
3;"Szkoła Podstawowa w Popowie Kościelnym im. Kazimiery Augustynowicz, Popowo Kościelne 60, 07-203 Somianka";143504;"gm. Somianka";"wyszkowski";"mazowieckie";1;1;408;281;51;74;25;12
4;"Szkoła Podstawowa w Ulasku, Ulasek 28A, 07-203 Somianka";143504;"gm. Somianka";"wyszkowski";"mazowieckie";1;1;93;249;32;41;10;18
5;"Budynek gminny w Nowych Wypychach, Nowe Wypychy 14A, 07-206 Somianka";143504;"gm. Somianka";"wyszkowski";"mazowieckie";1;1;68;193;17;32;4;6
6;"Szkoła Podstawowa im. gen. bryg. pil. Stanisława Skalskiego w Woli Mystkowskiej, Wola Mystkowska 17, 07-206 Somianka";143504;"gm. Somianka";"wyszkowski";"mazowieckie";1;1;177;318;57;50;11;16
7;"Oddział Zewnętrzny w Popowie, Popowo-Parcele ul. Nadbużańska 39, 07-203 Somianka";143504;"gm. Somianka";"wyszkowski";"mazowieckie";1;1;41;9;20;9;9;9
1;"Zakład Doskonalenia Zawodowego, ul. Komisji Edukacji Narodowej 2, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;424;195;86;42;14;12
2;"Szkoła Podstawowa nr 5 im. Żołnierzy Armii Krajowej (wejście A), ul. Geodetów 45, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;601;454;137;64;23;36
3;"Szkoła Podstawowa nr 5 im. Żołnierzy Armii Krajowej (wejście B), ul. Geodetów 45, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;681;452;163;71;32;30
4;"Wyszkowski Ośrodek Sportu i Rekreacji (hala sportowa), ul. Geodetów 45, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;467;346;98;57;22;22
5;"Przedszkole Nr 9 ""Bajka"", ul. Pułtuska 143, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;474;341;88;55;25;17
6;"Przedszkole Nr 1, ul. Prosta 7A, 07-202 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;467;313;104;65;17;24
7;"Szkoła Podstawowa Nr 2 im. Władysława Broniewskiego, ul. Jana Matejki 5, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;462;370;84;39;14;30
8;"Szkoła Podstawowa Nr 1 im. Adama Mickiewicza (wejście B), ul. 11 Listopada 62, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;732;435;135;81;23;32
9;"Zespół Szkół Nr 1 im. Marii Skłodowskiej-Curie, ul. Świętojańska 89, 07-202 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;440;319;82;48;18;23
10;"Wyszkowski Ośrodek Kultury ""Hutnik"", ul. Prosta 7, 07-202 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;478;340;75;73;30;17
11;"Szkoła Podstawowa nr 4 im. Obrońców Westerplatte (wejście A), ul. Generała Józefa Sowińskiego 55, 07-202 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;382;291;58;33;11;10
12;"Szkoła Podstawowa nr 4 im. Obrońców Westerplatte (wejście B), ul. Generała Józefa Sowińskiego 55, 07-202 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;446;398;60;61;20;23
13;"Biblioteka Publiczna Miejsko-Gminna im. C. K. Norwida, ul. Generała Józefa Sowińskiego 80, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;501;346;74;48;23;23
14;"Szkoła Podstawowa Nr 1 im. Adama Mickiewicza (wejście A), ul. 11 Listopada 62, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;561;339;87;74;23;34
15;"Szkoła Podstawowa nr 3 im. Stanisława Wróbla „Jaskółki” (wejście A), ul. Stefana Batorego 6, 07-201 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;528;301;78;56;10;21
16;"Remiza Ochotniczej Straży Pożarnej, Kamieńczyk ul. Warszawska 6, 07-202 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;451;251;35;42;5;9
17;"Budynek gminny, Skuszew ul. Przejazdowa 81, 07-201 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;184;117;53;30;5;6
18;"Szkoła Podstawowa im. J. Brzechwy (wejście A), Lucynów ul. Szkolna 12, 07-201 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;232;179;57;18;12;10
19;"Szkoła Podstawowa im. J. Brzechwy (wejście B), Lucynów ul. Szkolna 12, 07-201 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;206;206;45;18;8;13
20;"Szkoła Podstawowa nr 3 im. Stanisława Wróbla „Jaskółki” (wejście B), ul. Stefana Batorego 6, 07-201 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;124;180;44;9;9;14
21;"Przedszkole nr 2, ul. Meliorantów 13, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;542;241;99;51;18;17
22;"Remiza Ochotniczej Straży Pożarnej, Gulczewo ul. Szkolna 16, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;176;145;38;20;5;7
23;"Szkoła Podstawowa im. Henryka Sienkiewicza, Rybno ul. Wyszkowska 87, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;278;353;84;36;10;14
24;"Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego, Leszczydół Stary 38, 07-202 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;225;407;86;22;25;26
25;"Szkoła Podstawowa, Olszanka ul. Zachodnia 3, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;126;188;37;22;5;9
26;"Szkoła Podstawowa, Łosinno ul. Szkolna 12, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;74;168;28;11;6;6
27;"Szkoła Podstawowa im. Jana Pawła II, Leszczydół-Nowiny ul. Szkolna 26, 07-202 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;428;382;105;68;16;36
28;"Remiza Ochotniczej Straży Pożarnej, Lucynów Duży ul. Jana Kochanowskiego 69, 07-201 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;125;97;31;15;6;4
29;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Wyszkowie, ul. Komisji Edukacji Narodowej 1, 07-200 Wyszków";143505;"gm. Wyszków";"wyszkowski";"mazowieckie";1;1;16;18;4;0;0;0
1;"Gminny Ośrodek Kultury, ul. Wł. St. Reymonta 2, 07-230 Zabrodzie";143506;"gm. Zabrodzie";"wyszkowski";"mazowieckie";1;1;373;491;85;56;24;21
2;"Strażnica Ochotniczej Straży Pożarnej, Słopsk ul. Wincentego Witosa 95, 07-230 Zabrodzie";143506;"gm. Zabrodzie";"wyszkowski";"mazowieckie";1;1;360;400;81;47;9;32
3;"Publiczna Szkoła Podstawowa, Dębinki ul. C. K. Norwida 26, 07-230 Zabrodzie";143506;"gm. Zabrodzie";"wyszkowski";"mazowieckie";1;1;193;286;56;45;13;17
4;"Publiczna Szkoła Podstawowa, Adelin 46, 07-230 Zabrodzie";143506;"gm. Zabrodzie";"wyszkowski";"mazowieckie";1;1;273;190;54;32;15;15
5;"Budynek po Szkole Podstawowej, Kiciny 52, 07-230 Zabrodzie";143506;"gm. Zabrodzie";"wyszkowski";"mazowieckie";1;1;126;260;42;28;3;21
1;"I Liceum Ogólnokształcące im. Generała Józefa Bema w Ostrołęce, ul. Romualda Traugutta 1, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;412;477;128;244;39;61
2;"Urząd Miasta Ostrołęki, pl. Plac Generała Józefa Bema 1, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;227;237;57;112;19;31
3;"Przedszkole Miejskie Nr 10, ul. Mazowiecka 7, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;402;396;83;203;17;58
4;"Szkoła Podstawowa Nr 6 im. Orła Białego, ul. Henryka Sienkiewicza 15, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;340;457;83;206;26;44
5;"Zespół Szkół Zawodowych Nr 3 im. Kardynała Stefana Wyszyńskiego, ul. Stefana Jaracza 5, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;235;371;78;196;25;29
6;"II Liceum Ogólnokształcące im. Cypriana Kamila Norwida, ul. Romualda Traugutta 2, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;260;352;90;172;22;34
7;"Szkoła Podstawowa Nr 2 im. Stanisława Staszica, ul. Papiernicza 1, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;238;394;62;159;37;37
8;"Ostrołęcka Spółdzielnia Mieszkaniowa, ul. gen. Józefa Hallera 13, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;305;370;69;191;36;43
9;"Przedszkole Miejskie Nr 13, ul. Dzieci Polskich 5, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;240;260;54;153;13;42
10;"Przedszkole Miejskie Nr 5, ul. Piękna 12, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;282;424;66;176;32;22
11;"Przedszkole Miejskie Nr 7, ul. dr. Józefa Psarskiego 24, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;251;302;55;142;20;30
12;"Szkoła Podstawowa Nr 5 im. Zofii Niedziałkowskiej, ul. gen. Józefa Hallera 12, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;135;148;53;64;3;5
13;"Zespół Szkół Zawodowych Nr 1 im. Józefa Psarskiego, ul. 11 Listopada 20, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;353;364;66;184;16;22
14;"Szkoła Podstawowa Nr 1 im. Stanisława Jachowicza, ul. Gen. Augusta Emila Fieldorfa ""Nila"" 4/6, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;391;397;89;218;30;60
15;"Przedszkole Miejskie Nr 16, ul. Powstańców 4, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;390;417;104;225;13;50
16;"Zespół Szkół Zawodowych Nr 3 im. Kardynała Stefana Wyszyńskiego (wejście od ul. Janusza Korczaka), ul. Stefana Jaracza 5, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;573;496;112;301;34;47
17;"Szkoła Podstawowa Nr 10 im. Jana Pawła II (wejście od ul. gen. Władysława Sikorskiego), ul. Ks. Franciszka Blachnickiego 16, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;434;413;94;229;21;46
18;"III Liceum Ogólnokształcące im. Unii Europejskiej, ul. Ks. Franciszka Blachnickiego 5, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;569;454;115;272;52;59
19;"Szkoła Podstawowa Nr 10 im. Jana Pawła II, ul. Ks. Franciszka Blachnickiego 16, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;507;529;128;325;35;48
20;"Ostrołęckie Centrum Kultury Klub ""Oczko"", ul. gen. Władysława Sikorskiego 6, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;414;417;95;244;23;45
21;"Szkoła Podstawowa Nr 3 im. Adama Mickiewicza (wejście od strony boiska sportowego), ul. Ignacego Jerzego Skowrońskiego 8, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;349;563;83;219;21;41
22;"Szkoła Podstawowa Nr 3 im. Adama Mickiewicza, ul. Ignacego Jerzego Skowrońskiego 8, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;283;388;67;174;24;33
23;"Budynek administracyjno-biurowy, ul. Gen. Augusta Emila Fieldorfa ""Nila"" 15, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;354;267;71;182;28;33
24;"Budynek socjalno-gospodarczy, ul. Sosnowa 5, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;120;130;49;119;8;23
25;"Spółdzielnia Mieszkaniowa ""Centrum"", ul. gen. Władysława Sikorskiego 45, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;526;315;143;249;27;20
26;"Dom Pomocy Społecznej, ul. Rolna 27, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;2;36;4;65;7;6
27;"Dom Pomocy Społecznej PCK, ul. Aleja Wojska Polskiego 32, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;3;9;0;0;0;0
28;"Mazowiecki Szpital Specjalistyczny w Ostrołęce im. dr. J. Psarskiego, al. Aleja Jana Pawła II 120A, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;28;78;4;33;6;6
29;"Zakład Pielęgnacyjno-Opiekuńczy w Ostrołęce, ul. Henryka Sienkiewicza 56, 07-410 Ostrołęka";146101;"m. Ostrołęka";"Ostrołęka";"mazowieckie";1;1;1;1;0;1;2;1
