"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALAK Manuela Anna - KW BEZPARTYJNI SAMORZĄDOWCY";"MIKOŁAJCZYK Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIECHOWIAK Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MATECKA Ewa Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
2;"budynek komunalny, Pisarzowice 28, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;20;95;19;83
3;"budynek komunalny, Mąkoszyce 88, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;70;170;92;260
4;"budynek komunalny, Rybin 11, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;5;34;6;30
5;"budynek komunalny, Kuźnica Myślniewska 32, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;7;25;16;49
6;"budynek komunalny, Myślniew 43A, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;15;71;19;81
7;"budynek komunalny, Bierzów 52, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;24;66;21;89
8;"budynek komunalny, Ignaców 29, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;23;72;26;78
9;"budynek Szkoły Podstawowej, Parzynów 7, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;51;114;44;113
10;"budynek komunalny, Ligota 3, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;18;89;15;95
11;"budynek komunalny, Marcinki 54, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;10;45;20;36
12;"Dom Pomocy Społecznej w Kobylej Górze, ul. Tomasza Sikorskiego 1, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;3;4;0;3
1;"Ochotnicza Straż Pożarna w Rencie, Renta 18, 63-522 Kraszewice";301805;"gm. Kraszewice";"ostrzeszowski";"wielkopolskie";1;1;31;134;19;109
2;"Szkoła Podstawowa im. Mariana Falskiego w Kraszewicach (wejście byłe gimnazjum), ul. Szkolna 1, 63-522 Kraszewice";301805;"gm. Kraszewice";"ostrzeszowski";"wielkopolskie";1;1;91;296;76;360
3;"Szkoła Podstawowa im. Kardynała Karola Wojtyły w Kuźnicy Grabowskiej, Kuźnica Grabowska 106, 63-522 Kraszewice";301805;"gm. Kraszewice";"ostrzeszowski";"wielkopolskie";1;1;41;222;71;136
4;"Budynek OSP w Jaźwinach, Jaźwiny 23, 63-522 Kraszewice";301805;"gm. Kraszewice";"ostrzeszowski";"wielkopolskie";1;1;16;77;13;37
5;"Klub Senior+, Głuszyna 34, 63-522 Kraszewice";301805;"gm. Kraszewice";"ostrzeszowski";"wielkopolskie";1;1;18;76;18;57
1;"Szkoła Podstawowa im. Ewarysta Estkowskiego, ul. Grabowska nr 13, 63-510 Mikstat";301806;"gm. Mikstat";"ostrzeszowski";"wielkopolskie";1;1;80;547;107;409
2;"Świetlica Wiejska, Kotłów nr 23, 63-510 Mikstat";301806;"gm. Mikstat";"ostrzeszowski";"wielkopolskie";1;1;26;161;31;60
3;"Szkoła Podstawowa, Kaliszkowice Kaliskie nr 38, 63-510 Mikstat";301806;"gm. Mikstat";"ostrzeszowski";"wielkopolskie";1;1;32;231;38;107
4;"Wiejski Dom Kultury, Komorów nr 44, 63-510 Mikstat";301806;"gm. Mikstat";"ostrzeszowski";"wielkopolskie";1;1;19;222;39;95
5;"Szkoła Podstawowa, Kaliszkowice Ołobockie nr 1, 63-510 Mikstat";301806;"gm. Mikstat";"ostrzeszowski";"wielkopolskie";1;1;33;219;43;79
6;"Szkoła Podstawowa im. Ludwiki Wawrzyńskiej, Biskupice Zabaryczne nr 48, 63-510 Mikstat";301806;"gm. Mikstat";"ostrzeszowski";"wielkopolskie";1;1;22;164;41;92
7;"Wiejski Dom Kultury, Przedborów nr 10, 63-510 Mikstat";301806;"gm. Mikstat";"ostrzeszowski";"wielkopolskie";1;1;32;100;30;48
1;"Szkoła Podstawowa nr 1, ul. Łąkowa 1, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;56;280;83;439
2;"Zespół Szkół nr 1, ul. gen. Władysława Sikorskiego 9, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;87;271;86;520
3;"I Liceum Ogólnokształcące, ul. Zamkowa 21, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;133;446;120;703
4;"Sala sesyjna Starostwa Powiatowego, ul. 21 Stycznia 2, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;67;314;56;546
5;"Szkoła Podstawowa nr 2, ul. Piastowska 3, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;114;294;100;768
6;"Przedszkole Publiczne nr 6, ul. Zielona 4, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;116;410;145;869
7;"Żłobek Miejski nr 2 „Łąkowa Kraina” w Ostrzeszowie, ul. Łąkowa 5, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;102;346;112;672
8;"Świetlica Środowiskowa, Rojów ul. Wrocławska 24, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;36;133;42;205
9;"Sala wiejska, Olszyna 33, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;56;202;67;371
10;"Sala wiejska, Kochłowy 46, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;25;57;16;96
11;"Szkoła Podstawowa, Rogaszyce ul. Szkolna 82, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;64;248;62;268
12;"Szkoła Podstawowa, Szklarka Przygodzicka 53a, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;56;177;45;164
13;"Sala wiejska, Myje 22, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;43;108;65;216
14;"Zespół Szkolno-Przedszkolny w Siedlikowie, Siedlików 58d, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;87;267;76;217
15;"Szkoła Podstawowa, Niedźwiedź 18, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;36;144;56;151
16;"Sala wiejska, Szklarka Myślniewska 6, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;31;56;25;84
17;"Sala wiejska, Zajączki 14, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;19;69;13;69
18;"Sala wiejska, Bledzianów 20, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;20;87;33;75
19;"Sala wiejska, Marydół 50, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;19;53;20;50
20;"Ostrzeszowskie Centrum Zdrowia Sp. z o. o., ul. Aleja Wolności 4, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;3;7;1;10
21;"Dom Pomocy Społecznej w Kochłowach, Kochłowy 1, 63-500 Ostrzeszów";301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";1;1;4;7;2;6
