"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEDA Halina Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WÓJTOWICZ Mariusz Kazimierz - KWW MARIUSZ KAZIMIERZ WÓJTOWICZ";"TYMIŃSKI Stanisław - KW ZWIĄZKU SŁOWIAŃSKIEGO"
50;"Zespół Szkół Sportowych im. Janusza Kusocińskiego, ul. Filipiny Płaskowickiej 2, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;459;390;147
51;"Szkoła Podstawowa Nr 16, ul. Józefa Lompy 78, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;357;233;83
52;"Zespół Szkół Nr 3 im. Rtm. Witolda Pileckiego, ul. 3 Maja 118, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;540;388;150
53;"Szkoła Podstawowa Nr 1, ul. Sportowa 5, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;423;279;106
54;"Szkoła Podstawowa Nr 1, ul. Sportowa 5, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;384;275;91
55;"Szkoła Podstawowa Nr 1, ul. Sportowa 5, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;468;308;91
56;"Zespół Szkolno-Przedszkolny Nr 6, ul. gen. Władysława Sikorskiego 74, 41-809 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;769;435;134
57;"Przedszkole Nr 29, ul. Ignacego Paderewskiego 53, 41-810 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;358;254;71
58;"Zespół Szkół Nr 18, ul. Konrada Sitki 55, 41-810 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;315;217;52
59;"Zespół Szkolno-Przedszkolny Nr 7, ul. Daleka 2, 41-811 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;528;417;145
60;"Zabrzańskie Centrum Kształcenia Ogólnego i Zawodowego, ul. Marszałka Józefa Piłsudskiego 58, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;628;374;134
61;"Szkoła Podstawowa Specjalna Nr 38 im. Małego Księcia, ul. ks. Konstantego Damrota 33, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;473;369;119
62;"Szkoła Podstawowa Specjalna Nr 38 im. Małego Księcia, ul. ks. Konstantego Damrota 33, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;449;301;102
63;"Szkoła Podstawowa Nr 5 im. Króla Jana III Sobieskiego, ul. Królewska 4, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;601;328;124
64;"Szkoła Podstawowa Nr 5 im. Króla Jana III Sobieskiego, ul. Królewska 4, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;418;231;75
65;"Centrum Edukacji, ul. 1 Maja 12, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;619;322;113
66;"Szkoła Podstawowa Nr 36 im. Juliana Tuwima, pl. Plac Warszawski 6, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;486;271;93
67;"Szkoła Podstawowa Nr 43, ul. Buchenwaldczyków 25, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;464;258;76
68;"I Liceum Ogólnokształcące im. prof. Zbigniewa Religi, ul. Wolności 323, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;608;372;94
69;"Szkoła Podstawowa Nr 3 im. Bohaterów Monte Cassino, ul. rtm. Witolda Pileckiego 2, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;331;229;82
